DATE,std_SRAD,std_Tmax,std_Tmin,std_RAIN,std_VAPO,std_WIND,std_q,std_Tavg,std_qsat,std_RH2,std_RH,std_dewpoint,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,SRAD,Tmax,Tmin,RAIN,VAPO,WIND,q,Tavg,qsat,RH2,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_SRAD,rolling_std_SRAD,rolling_mean_Tmax,rolling_std_Tmax,rolling_mean_Tmin,rolling_std_Tmin,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_Tavg,rolling_std_Tavg,rolling_mean_qsat,rolling_std_qsat,rolling_mean_RH2,rolling_std_RH2,rolling_mean_RH,rolling_std_RH,rolling_mean_dewpoint,rolling_std_dewpoint,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
1,1.3436269323489065,5.481739802687447,4.21842700977291,5.124850432356341,1.5911248099754904,1.8019019326013956,0.0009767378552230496,4.511376424261148,0.0016480625738536359,0.14388596385721342,0.14352952797489785,3.9292154958487506,347.5825290600716,0.032786922218925735,0.0152435759327824,2.0431218163127083,0.15906189750845467,0.1682302576673437,3.9533333333333327,5.1866666666666665,-0.8266666666666667,2.493333333333333,5.526666666666668,2.6933333333333342,0.003392634262686076,2.1800000000000006,0.004611152873530482,0.7581744266997653,0.7610100732429029,-1.8647418050066662,513.5740742257419,0.0021616379310344823,-0.0012767128542501484,1.1957125208273545,0.6737334925212706,0.6292363664259272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.5681308882738778,5.358105901396006,3.8280888662380987,4.103551867715879,1.578679791806265,1.9411129643145149,0.0009690982783158123,4.346667371835498,0.0014335808529165705,0.13542330410358477,0.13518990709656326,4.099556971968975,326.54024181176794,0.04264946436547251,0.019688040468750258,1.895935009899313,0.14712198966046477,0.1564745805549025,3.8599999999999985,4.436666666666666,-0.8566666666666667,2.55,5.453333333333332,2.603333333333334,0.0033476174027469363,1.7899999999999994,0.004462238710348597,0.765485994875821,0.7682505968318328,-2.0764337475779344,494.5567156911537,-0.0045274305555555545,-0.0011804968130602847,0.5045473196325166,0.7039442655033414,0.648747957850712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.7562891914881018,5.928347058883674,3.6860111449803754,2.5473651025161748,1.4715891793036797,1.8225566229004135,0.0009033589632636455,4.682071454329619,0.001454941590489821,0.10085184954728055,0.10045656896691285,4.01308549987217,237.09024302570177,0.02802516943185018,0.018218091671798393,2.165285738693454,0.1378840497847685,0.12829744766385554,4.26,4.9433333333333325,-0.9233333333333332,1.3699999999999999,5.383333333333334,3.036666666666668,0.003304646763714121,2.01,0.004553712744102498,0.7404539204536724,0.7433052616037856,-2.219159171337877,541.7684077820333,0.0025539351851851847,-0.0011268378670120935,0.736010140405825,0.6755128441244881,0.6142567427452446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.5962743980979548,5.5434915757647465,4.428180394834361,1.9535290788900395,1.7992623009406399,2.1754006104834933,0.0011045064408438962,4.77231118253918,0.0015180208379909194,0.1144687050288558,0.11430733266712745,4.703683959375806,260.6277963913244,0.02555496497412463,0.017019044501576996,1.5883655226438678,0.13946271476465305,0.1480860136459439,4.146666666666666,4.973333333333331,-1.086666666666667,0.9600000000000002,5.47,2.773333333333334,0.0033578485072785587,1.943333333333333,0.00454516387375384,0.745836074373426,0.7486781073753602,-2.192327207965353,531.5259651540082,-0.0007739197530864193,0.0013951325972530607,1.1812424877423744,0.6646699922444144,0.6154058817655723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.9406243810963903,4.860515322000569,4.637043499234517,6.493264414654674,1.9066851538369067,1.3830501025656652,0.0011704497070679062,4.555688625287587,0.001391859803799555,0.13088098555214248,0.13101635883536866,5.2941304229523745,304.3395394753682,0.02883420135403505,0.023148377452946456,2.1829543956664623,0.12864682302564998,0.14966791962369275,4.6866666666666665,4.076666666666666,-1.6700000000000004,2.8400000000000003,5.28,2.460000000000001,0.0032412139156180607,1.203333333333333,0.004293876556912071,0.7512914956737675,0.7539720372950103,-2.845852646705087,521.4654715278408,-0.00859050925925926,-0.0030585599247470946,0.8328994742368189,0.6735696547340119,0.6232275633758494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.5515250191529208,6.685462010874835,5.534344181313752,3.4568954911570016,1.868603264719277,1.0922085607748573,0.0011470725197684584,5.949620870756987,0.0017777665479366777,0.10785220407719334,0.10733451454731595,5.163724849323143,248.82041989746565,0.03258456816985476,0.01703478846371753,1.9031677897493098,0.13906140598269973,0.1405894686803937,4.196666666666668,4.033333333333333,-1.4999999999999998,1.5233333333333334,5.426666666666667,2.113333333333333,0.0033312476354963407,1.2666666666666666,0.0044415803131255234,0.770658982001867,0.7734397459700747,-2.4196937306693815,485.49960561346927,0.0007352237654320986,0.0023609936261205678,1.2611543181558282,0.6878791989721533,0.6459816347780019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.8926992219651768,7.433657536355578,5.018839221018818,2.4463554877437157,1.585527215699604,1.4275451157393466,0.0009733016808933171,5.9976070419697445,0.002033900178343066,0.14308446859093643,0.14235772622251994,4.341322731427796,368.4693584390283,0.029694116319536907,0.01988920938636795,1.8092783777313883,0.17683024265297248,0.16794166533137664,4.290000000000001,4.093333333333333,-1.4566666666666668,1.25,5.23,2.3266666666666667,0.0032105206020231927,1.3183333333333336,0.004484046176622022,0.7615393663099876,0.7642735661695723,-2.7019470744497402,524.0049390005398,0.0005997878086419761,-0.003165877816843494,0.9708524802599612,0.7009487273336841,0.6447905468234794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.6003016956940899,6.388552981341102,5.314478164497389,2.420328181414068,2.011429982552871,1.4442115933743163,0.0012347490245723028,5.711705061769531,0.0017643120314501043,0.08927614171627021,0.08894789499646445,5.37017720042548,201.15616523827123,0.033481794449143294,0.015041280469380996,2.0912976859467056,0.13640431575802667,0.12159940234060239,3.9200000000000013,2.8866666666666663,-1.7333333333333332,1.1833333333333333,5.336666666666665,2.3333333333333335,0.0032759996710255775,0.5766666666666665,0.004216335379225513,0.7875669606640358,0.7902326215011258,-2.734021909954646,440.181641942576,-0.00860985725308642,0.0017170862735422332,0.44502910888666086,0.7311956801153766,0.6776533634412956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.7155442151174618,6.295095701024526,5.592216470905902,2.280491981604171,1.9633451397884767,1.5856975694025626,0.0012052313614097532,5.747120468387705,0.0017207635479441308,0.11943244539753725,0.11917190167150882,5.564573338834162,265.93836524614545,0.023349659003763786,0.01168441899124865,1.450817268166164,0.14047787305515072,0.14686349495486475,4.536666666666667,2.9733333333333336,-2.3766666666666665,0.9066666666666666,5.209999999999998,2.506666666666667,0.0031982432765852455,0.2983333333333336,0.004134366709232771,0.7852138910998531,0.7877999650212542,-3.1066756302619454,452.0702097854284,-0.003231114969135801,-0.002039039949831402,1.1869510197873394,0.6953519234342311,0.6607882325074778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.7953451946119143,5.631169413675746,4.843577332851241,2.751893809766264,1.8228593176529078,1.7897665679680388,0.0011189918535209557,5.102817848992848,0.0015618951223097543,0.09862615583077927,0.09838040000271664,4.78150879800298,219.97438005404902,0.027225780196590794,0.01375668210105001,2.0283849940291705,0.1234888846880982,0.12538091657258352,4.453333333333332,3.5399999999999996,-1.7899999999999996,1.1533333333333333,5.283333333333332,2.3533333333333335,0.0032432601365243855,0.8750000000000001,0.004243585818040306,0.7740427931010097,0.7767142436128025,-2.7015126725833367,468.435172798817,0.006694405864197532,0.0011804968130602873,0.23776574463257868,0.692570829138213,0.6499356199444208,4.230333333333333,0.2737731330774838,4.114333333333333,0.8045872341045126,-1.422,0.4997411675736764,1.623,0.7209226769722531,5.359999999999999,0.1084230397819374,2.5200000000000005,0.2660966129198335,0.003290323217369849,6.655724721871682e-05,1.3461666666666665,0.6350090161700728,0.004398605915489362,0.00016396270514831054,0.7640263905253205,0.015771549357035276,0.766767621862372,0.01570359814932309,-2.486236559651197,0.39226915964912645,497.3082203521608,34.95873518974798,-0.0012987841235632181,0.00493857160151239,-0.0005193815915768369,0.002027413748928212,0.8552164614567257,0.3647848193173234,0.6899376608121186,0.019542417973782124,0.6410023909657981,0.020381384481130076
