DATE,std_SRAD,std_Tmax,std_Tmin,std_RAIN,std_VAPO,std_WIND,std_q,std_Tavg,std_qsat,std_RH2,std_RH,std_dewpoint,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,SRAD,Tmax,Tmin,RAIN,VAPO,WIND,q,Tavg,qsat,RH2,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_SRAD,rolling_std_SRAD,rolling_mean_Tmax,rolling_std_Tmax,rolling_mean_Tmin,rolling_std_Tmin,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_Tavg,rolling_std_Tavg,rolling_mean_qsat,rolling_std_qsat,rolling_mean_RH2,rolling_std_RH2,rolling_mean_RH,rolling_std_RH,rolling_mean_dewpoint,rolling_std_dewpoint,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
1,1.9343358478852097,5.894865289521822,4.904518207793168,8.270240931041323,1.492205803808423,2.264163594268134,0.0009160148136874797,5.212198611700833,0.0013575825614777028,0.12393675921218665,0.12352063846334144,4.4383303605294175,263.0878589438487,0.036130869839214416,0.013326078092272,1.968402412102735,0.12181868766045226,0.11724732246170139,4.58,2.643333333333333,-5.1866666666666665,3.7633333333333328,4.723333333333334,3.1666666666666674,0.002899495024261864,-1.271666666666667,0.0036428135626701717,0.8192114522300039,0.8214790291404795,-4.113621482173156,394.9834662650463,0.004003033205619414,0.0009991665815870768,1.6586052070666668,0.576880092386388,0.6236377038599206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.768095280108012,5.882864264456812,4.6452855844306855,10.146400188323403,1.4100012227923286,1.875173555186017,0.0008655521940062458,4.978819795064301,0.0011951092129985075,0.120338413403869,0.12004230628967677,4.6645129375107945,245.5042391739587,0.05050112421283506,0.02196218119615707,1.2938632635491938,0.14506940394916537,0.1477525508700903,4.206666666666667,1.8466666666666667,-5.516666666666667,4.776666666666667,4.650000000000001,2.7600000000000002,0.002854478164322724,-1.835,0.003474054692392397,0.8368548841611108,0.8390265353553216,-4.346392568808624,356.80864747593097,-0.006539621913580246,-0.0011804968130602843,1.9212341551517165,0.6017596183327586,0.6555055202449868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.7553235939678558,6.309799894817877,5.356143749197642,6.660386409694018,1.550216892500241,2.358357601109858,0.0009516258644314333,5.656498907014609,0.001357695901155993,0.10651353994813953,0.10612995151944847,5.007689018980721,229.6771381246952,0.029740344756304504,0.014238129197873517,1.518396775047163,0.13580505991509026,0.12881862177440287,4.623333333333332,1.5766666666666667,-4.7,3.283333333333333,4.640000000000001,3.4233333333333347,0.0028483395016037504,-1.5616666666666665,0.0035941665202939266,0.8109724759361384,0.813223524181679,-4.485609817002876,407.50507788521094,0.003173070987654321,-0.00016097683814458443,1.2988991189310743,0.6464960480636944,0.6559226312363697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.8207614928356495,6.537021009463021,5.852918517493114,4.0179711240902405,1.6586104140958258,1.7147400191671427,0.0010181649914311412,5.966363811102772,0.0014386792327252544,0.11643773526958177,0.11600792319361318,5.238782586234104,236.74593250965592,0.03673615728073496,0.018258185591571618,1.4331535744361632,0.1461672928166071,0.13520639184900946,4.4,1.6333333333333335,-5.4300000000000015,1.8933333333333335,4.606666666666667,3.096666666666667,0.002827877292540505,-1.8983333333333332,0.003540256711882701,0.8211177266235044,0.823334164218922,-4.674074092377216,395.77288278605715,-0.003908294753086421,-0.000536589460481946,1.8206044331429325,0.6123943466752951,0.6459811942592607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.9052890690867905,5.349036866791895,5.37634666369979,6.122185959242029,1.4476139702615995,1.6957011230905563,0.0008886413910710241,5.114726596888589,0.0012418126611942661,0.10875562620040456,0.10842964199271882,4.547987352854287,223.4478947016078,0.03434151536388817,0.015827491620267694,1.984725355404567,0.14840647256908188,0.13500987882042503,4.856666666666667,1.2433333333333332,-5.9799999999999995,3.9566666666666674,4.3599999999999985,2.4666666666666677,0.0026764569454724896,-2.368333333333334,0.0033568784591783874,0.8140179959877679,0.8161210447584629,-5.223970199033479,406.6348941658235,-0.005456134259259257,-0.003970762007566411,1.4148619173127213,0.6023766013869668,0.6358348249839865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.02088236105949,5.702107898203841,5.3278157522248435,4.911515907105171,1.4666248687879004,1.9626512680555348,0.0009003115404747834,5.318630235897858,0.001252770623941544,0.1148144432308644,0.11445581423915058,4.801732361676056,228.57715843109466,0.03629159504093062,0.016537597237931422,1.8959347038008267,0.13143654774029265,0.12779185461736128,5.1499999999999995,1.3900000000000001,-5.570000000000002,2.1666666666666665,4.493333333333333,3.080000000000001,0.0027583057817254708,-2.0900000000000003,0.0034355531808288576,0.8194198459664305,0.8215660659689731,-4.864268428198355,394.0641181068075,0.003231114969135801,0.0021463578419277903,1.6616529722649915,0.6122984837512302,0.6441860928905238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.159674837168515,6.176373224384724,6.002682350607839,4.509142691919601,1.4875112285870027,1.9278240965208513,0.000913132972298165,5.797185454632471,0.001465124097123733,0.1415038357729438,0.14098820763209516,4.780882760939882,287.57576231493886,0.033809271240540374,0.018383047127418076,1.9137384756558693,0.15662820536301952,0.1562423599979653,4.916666666666667,1.0999999999999999,-5.743333333333334,2.173333333333334,4.42,2.426666666666667,0.0027132889217863308,-2.3216666666666654,0.0034274669500049676,0.8254310915133117,0.827548420997437,-5.093059167146525,399.2393857865282,-0.00268937114197531,-0.0011804968130602865,0.9949907708828931,0.6239746799790888,0.6554529998279089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.1603958768771028,6.0676919052858365,5.990779313378953,2.6308711026237472,1.657657258364013,1.7303245327122156,0.0010175798812755157,5.822366702895696,0.0013532285228190404,0.1028931134117614,0.10263363216722206,5.56494561930354,211.47450968462678,0.03387113527165508,0.013450695320548498,1.9116474693025711,0.14384860099284366,0.13802098061849483,4.859999999999999,-0.3633333333333332,-6.723333333333334,1.63,4.21,2.3333333333333335,0.002584377004687885,-3.5433333333333326,0.0031374518029240713,0.8358004672921129,0.8377653851504435,-5.9960863092090015,372.1839266537551,-0.01418207947530864,-0.003380513601036268,1.6910455288207515,0.6378740161922298,0.6721529012616501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.222168869091325,5.900130526512532,5.668055272729142,2.9291735133420085,1.6601620195133011,1.8721061960250556,0.0010191174696642222,5.501280937565632,0.0012599362405680298,0.12784742111992237,0.1276772336150173,5.473237952389214,261.0483183460462,0.03537843515732353,0.012407069665046089,2.323632158475935,0.15703043940657463,0.14546335589025164,5.069999999999997,0.48666666666666675,-6.973333333333334,1.7833333333333337,4.3199999999999985,2.5266666666666677,0.0026519022945965948,-3.243333333333333,0.003175461223569184,0.8443520398409388,0.8463233697543504,-5.614712570761696,356.2802111252298,0.0034826388888888854,0.001770745219590426,1.1984345540664278,0.593772605878551,0.6535434351813266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.0539952657501765,5.595749618514346,5.56181149684496,5.904702976558543,1.5940406259695452,1.9220110397137709,0.0009785277763168588,5.372069102011031,0.001251908638438211,0.11038299446835549,0.11008012431572144,4.990906289835094,211.39525246361973,0.037935388582072536,0.01768472928503054,2.1173458785402666,0.13652881073310164,0.12991117976037309,4.62,0.4999999999999999,-5.993333333333333,2.2,4.519999999999999,2.763333333333334,0.002774675548976067,-2.7466666666666657,0.0032820619478164006,0.859873982990822,0.8619246161954618,-4.858189701316017,319.90727859845606,0.005765702160493829,0.0032195367628916854,1.4283115006037708,0.6319119980612984,0.6863370254757096,4.728333333333333,0.2959948698254121,1.2056666666666667,0.8380902011031899,-5.781666666666668,0.6794719263997834,2.762666666666667,1.09398106377635,4.4943333333333335,0.16532086273160237,2.804333333333334,0.3704553421045879,0.0027589196479973683,0.00010148490167190362,-2.2879999999999994,0.7198172779117258,0.0034066165051561065,0.00016948085977232228,0.828705196254214,0.01530388058740452,0.8308312155721531,0.015234322384086132,-4.926998433602694,0.5771402275896601,380.33798888488457,28.438509478548475,-0.0013119941331417623,0.006332162052653664,-0.0002274029127352801,0.002330589600337415,1.5088640158243947,0.2917439394011493,0.6139738490707501,0.02140541857265653,0.6528554329221643,0.01758424197781563
