DATE   RAD  TMAX  TMIN  RAIN  VAPO  WIND
71001   2.6     6  -6.3   2.8   4.4   3.7
71002   2.7  -2.6  -6.2   4.5   4.3   2.4
71003   2.7    -3    -8  16.9   3.4   2.4
71004   7.2  -3.4 -12.4   0.2   2.6   1.2
71005   2.7  -2.4 -11.7   0.4   4.1   4.4
71006   2.7  -2.3  -5.3  13.4   4.3   1.9
71007   2.8     0  -3.2   2.8   4.9   0.1
71008   2.8    -3  -9.5   0.1   3.9   1.9
71009   2.8  -4.2  -6.4     0   3.6   0.5
71010   2.8  -6.2  -8.5     0   3.2   1.2
71011   2.9  -1.5  -6.6     0   4.1     0
71012   4.6  -2.8   -15     0   2.2   0.5
71013   2.9  -6.8   -19     0   2.3   0.1
71014   4.8   2.3   -11     0   3.8   4.4
71015   6.6   0.2  -6.8     0   3.7   1.9
71016   3.0    -1   -11     0   3.5   0.5
71017   7.5   0.6  -8.8     0   3.8   1.2
71018   3.1  -2.4    -6     0   4.4   0.1
71019   3.2  -0.4    -7     0   4.6   2.9
71020   4.4   4.3  -0.7     0   6.1   4.4
71021   3.2     5   0.9     0   6.3   6.7
71022   3.2  10.1   4.5     0   8.2   3.7
71023   3.3  10.7     4   0.2     9   1.2
71024   3.9   9.3     1     0   8.3   1.2
71025   8.8  11.4  -0.3     0   8.4   1.2
71026   3.7   9.2   3.8     0   8.9   0.5
71027   4.1    11   0.5   0.5   8.9   3.7
71028   7.3  10.8     6  15.2   8.3   4.4
71029   6.4  11.4   1.3   1.5   8.5   1.2
71030   6.1  11.5  -0.6     2   7.8   2.4
71031   7.2  12.6   5.9     0   7.7   6.7
71032   6.5  12.8     6     0   8.2   6.7
71033   4.6   6.1   0.5     0   5.6   7.5
71034   7.7     1  -4.2     0   4.1   2.9
71035   8.4   0.3  -3.2   2.7   4.5     6
71036   7.7   1.7  -5.6     0   4.3   1.9
71037   8.9   5.2  -3.2     0   5.4   1.2
71038   5.8   5.6   0.7     0   6.1   0.8
71039   4.0   4.8  -0.8     0   6.1   4.4
71040   4.1   4.7   1.3     0   5.6   2.4
71041   4.7   6.2     1     0   6.2   0.8
71042  11.5   6.8  -3.1     0     5   1.2
71043  11.1   6.4  -3.4     0   4.7   1.2
71044  11.5  11.2  -2.2     0   5.8   1.9
71045   7.1  11.5     2     0   7.2   2.4
71046   4.4   8.7   0.5     0   7.1   2.4
71047  10.1  12.4   2.6     0   7.3     5
71048   5.0  13.7   3.4     0   8.6   3.7
71049   4.6   8.8   4.3   3.6   8.4   2.9
71050   8.3   9.4   0.5   0.5   6.9   1.2
71051   4.8   7.6   0.4     0   7.4   2.9
71052   4.8   5.4     2     0   7.3   1.9
71053   7.2   9.5   2.7   0.1   6.6   0.8
71054   9.6   8.4  -0.4     0   6.3   1.9
71055  10.8   8.8  -0.5     0   6.1   2.9
71056   6.8   4.3  -1.7     0   5.6   1.9
71057   8.5     7  -1.5   0.5     5   7.5
71058   8.8  -1.3  -6.7     0   2.7     6
71059   5.3  -2.3  -8.1   0.2   3.7   4.4
71060  11.7  -0.7    -9   0.8   3.3   1.2
71061   6.9  -0.6  -6.7     0   3.4   0.8
71062   9.9  -0.4   -10     0   3.1   1.2
71063   5.5    -1  -7.3     0   3.9   2.4
71064   5.6  -3.7  -7.8   1.2   3.2   3.7
71065   5.6  -1.7  -6.2     5   4.2   0.1
71066  10.3  -1.8 -10.6   0.1   3.1   1.9
71067  11.7   1.2   -10     0   3.9   0.5
71068   5.8   1.2  -5.8     0     5   1.2
71069   5.9   1.5  -1.9   4.2     5   4.4
71070  12.5   4.2  -6.7   0.8   4.1   2.9
71071  11.3   0.1  -5.6     0   3.3     6
71072  10.2   1.7  -9.4     0   3.6   3.7
71073  14.5   9.4  -3.5     0   5.5   2.9
71074   7.7   8.2   1.3   0.1   7.6   4.4
71075   7.1  12.5   2.6   0.4   8.9   3.7
71076   7.8  13.5   4.1     0   9.2   2.4
71077   9.7    13   6.7   1.4   9.7   2.4
71078  15.4  16.9   3.6     0   8.4   4.4
71079  13.5    21   7.8     0   9.6     5
71080  10.4  21.4   6.3     0   8.5     6
71081   9.5  20.3   9.8   0.5   9.5   6.7
71082   7.4    11   1.1   7.4   7.1   6.7
71083   9.7   8.5     0   2.9   5.5   1.2
71084  16.5  10.3  -1.8     0   5.6   1.2
71085  19.3  13.7   0.5     0   5.9   2.9
71086  16.5  13.8   1.9     0   6.2   1.2
71087  15.9  13.6     1     0   6.5   3.7
71088   7.3  12.5   2.7     0   7.8     6
71089   7.4    10   5.2   9.6  10.5   1.2
71090   8.9  13.2     7    10  10.4   2.4
71091  12.1  12.8   4.2     0   7.6   9.4
71092  14.6  13.6   6.4     0     8  12.3
71093  15.4  16.6   4.2     0   8.8     6
71094  16.2    20   6.1     0   9.4     5
71095   9.8  19.3  11.2     0  11.7   6.7
71096   7.8  13.2   9.8   4.2  12.7   1.9
71097  12.0  16.4   6.9   8.2  11.6   2.4
71098  20.9  21.4   7.6     0  11.3   3.7
71099  20.5  19.5   7.7     0  10.2   4.4
71100  19.2  20.5   7.5     0   9.5   2.4
71101   9.4  18.4   9.4     0  10.2   3.7
71102  20.5  15.8   3.4     0   6.8     5
71103  14.8  15.7   2.9     0   6.9   1.2
71104  22.8    14   5.5     0   5.5     5
71105  23.8  11.5  -0.4     0   4.4     5
71106  24.3  14.9   1.2     0   5.3   0.5
71107  22.3  18.6   4.1     0   6.6   6.7
71108  19.9  17.2   7.8     0   6.5   2.4
71109  24.5  17.8   1.3     0   6.7   1.9
71110  24.6    17   3.2     0   6.9   3.7
71111  24.9  19.5   3.4     0   6.3   2.4
71112  25.0  21.5     4     0   7.4   0.5
71113  19.0  24.5   7.1     0   8.8   2.4
71114   9.7  18.5  13.8     0  12.5   3.7
71115   9.0  14.8   8.9   1.1  10.6   3.7
71116  15.1  14.8   6.3   1.2   9.4   1.9
71117  12.0  20.3     9     0  10.1   2.9
71118   9.3    16     8     0  10.7   3.7
71119  26.3  15.4   1.6   3.2   6.6   1.2
71120  16.3  20.7   4.6     0  10.4   1.9
71121  13.9  23.8   9.7   2.9  13.9   2.4
71122  12.1  21.6  11.7   4.3    15   0.5
71123  15.6  20.6     9   4.4  13.7   2.4
71124  17.4    20  11.5   3.9  14.3   2.4
71125  14.6  18.9    10     0  13.4   1.9
71126  13.0  20.7   9.4     0  12.4   2.4
71127  12.8  19.4   7.9     0  13.2   1.9
71128  17.0  17.8     8  12.5  12.5   2.4
71129  24.5  19.8     7   0.6  11.6   1.9
71130  26.8  24.8   8.3     0  12.1   1.2
71131  26.3  26.3  11.2     0  13.5   1.9
71132  25.2  26.2  11.7     0  13.3   1.9
71133  26.8  26.4  14.6     0    11   3.7
71134  26.4  28.4    12     0  11.6   0.8
71135  25.6    29  11.7     0  12.3   0.5
71136  25.9  29.2  14.6     0    13   4.4
71137  27.1    29  14.6     0  14.9     6
71138  27.5  27.6  14.2     0  11.8   4.4
71139  28.0  27.8  13.9     0  12.1   6.7
71140  26.8    30  14.6     0  14.5   2.4
71141  27.7  29.8  14.6     0  14.2   2.4
71142  27.3  28.4    16     0  12.9   2.4
71143  21.3  27.6  13.6     0  13.5   2.9
71144  18.3    24  12.5   3.2  14.1   2.4
71145  28.4  26.7  11.7     0  13.5   2.4
