DATE,std_SRAD,std_TMAX,std_TMIN,std_RAIN,std_VAPO,std_WIND,std_q,std_TAVG,std_RH,std_dewpoint,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_SRAD,rolling_std_SRAD,rolling_mean_TMAX,rolling_std_TMAX,rolling_mean_TMIN,rolling_std_TMIN,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_TAVG,rolling_std_TAVG,rolling_mean_RH,rolling_std_RH,rolling_mean_dewpoint,rolling_std_dewpoint,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
1,1.548009474561875,5.512352898967793,4.153227522129592,3.4138746652279224,1.5757647295071116,1.6719456626489313,0.0009673088198898825,4.338952148517708,0.12643779666476312,4.031001357279133,283.1515841707878,3.288587319382603e-05,1.717201913928499e-05,1.5731348308902486,0.178212362248803,0.1527431816395571,4.343333333333334,5.949999999999999,-2.2033333333333336,1.6833333333333333,5.419999999999999,1.4333333333333331,0.003327155193683691,1.8733333333333333,0.7547382054172977,-2.2055453317379277,521.9664506542852,4.103109035759898e-06,4.995832907935375e-07,1.1771321990869592,0.5864601245826305,0.5809045093446306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.51463739448807,5.047835543890165,3.7144019181014056,3.7272466803381765,1.5190022436099144,1.2925471600369327,0.0009324642442885435,3.925050698845271,0.12778712560253064,4.132616380180752,301.7598854893694,4.2524796588995906e-05,2.1575300700580442e-05,1.7740122623817944,0.1702928054004995,0.16126934409527555,3.9633333333333343,4.6933333333333325,-1.8666666666666667,1.7266666666666666,5.376666666666667,1.3366666666666667,0.0033005543219014727,1.4133333333333333,0.772863430591037,-2.317063289720653,477.0460196598689,-5.3400462962962954e-06,-6.975662986265339e-07,0.8320639549586369,0.6503660472811218,0.6281711934507836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.5672070479150106,6.211831499220874,3.6063545448899332,2.1974410404915945,1.3960906007552811,1.7696970323213228,0.00085701293231659,4.6022433310463855,0.10226822341579218,4.017680086174461,236.78011162816972,2.5154157353640632e-05,1.5316786130482156e-05,1.7559052342391643,0.16054878767567735,0.1360038641640438,4.5200000000000005,5.3066666666666675,-1.9200000000000002,1.2233333333333334,5.329999999999998,1.6700000000000002,0.0032719072292129287,1.6933333333333331,0.7502276714313251,-2.3977829553243186,526.074984799488,3.2504629629629644e-06,-7.512252446747257e-07,1.3437731537856008,0.6230762860147,0.5950346971961091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.4868813308243611,5.541236220427235,4.478941787992995,2.922021029450631,1.7878774418640773,1.61680826492112,0.0010975176598464898,4.711059682633339,0.11374350408682819,4.8209063730199295,262.6252051773101,2.518219947665707e-05,1.9282418847840142e-05,1.4579984107475161,0.15094272598719766,0.13584888601642517,4.323333333333334,5.043333333333333,-2.1666666666666665,1.1199999999999999,5.326666666666668,1.28,0.0032698610083066043,1.4383333333333332,0.7508708818606574,-2.636370661688901,526.033821698939,-2.9602430555555546e-06,-5.365894604819274e-08,0.3876052169363243,0.615630866794376,0.5920655657901308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.9013123114699295,5.219023557769376,5.8784439648835525,3.63943282179625,1.725268594781094,1.6004166124273183,0.0010590842002998675,5.191989021560042,0.13189071206442,5.194345351640086,287.7632714582284,2.760891837468445e-05,2.0834697016461483e-05,1.497017054405863,0.15676542267787721,0.14012821910316864,4.813333333333334,5.180000000000001,-3.5100000000000007,2.1733333333333333,5.1,1.1066666666666667,0.0031307179866765364,0.8350000000000002,0.7487730174740528,-3.3138569464298127,539.2208788080445,-7.003973765432097e-06,-3.6488083312772423e-06,0.2739609670394382,0.5552378882089947,0.5582007034318234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.6256563661148244,6.038981607073723,6.585005607482405,1.9547642948130248,1.9352269759064087,0.9721465761484948,0.001187970568974869,5.893745223422937,0.10112978965721589,5.927652644314428,226.448964332207,3.499829519560182e-05,1.7416925359537698e-05,1.8946308887739547,0.1854967556549673,0.15474170494842937,4.3,3.9633333333333325,-4.033333333333332,0.8400000000000001,5.22,0.7100000000000001,0.0032043819393042195,-0.034999999999999934,0.797696541561861,-3.206713886076559,427.6779340101797,-1.0099652777777778e-05,1.931722057735009e-06,0.7275135262059436,0.5882952501691918,0.6139165617610698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.8089337686356417,7.048437505175726,6.634432127557898,3.3019482232411703,1.6398906607790487,1.4588808496012735,0.001006673566251733,6.42921582247431,0.13297349772600048,4.975092116459356,280.4060026698101,2.5229273845242484e-05,1.8715758276676766e-05,1.795274180767421,0.18702681059921172,0.15676184413313687,4.35,4.176666666666667,-3.6499999999999995,1.8299999999999998,5.120000000000001,0.8833333333333334,0.003142995312114484,0.2633333333333333,0.7910123441052851,-3.1868771697252862,462.06042775903916,3.4632908950617267e-06,-1.6097683814458402e-06,0.9020854500877141,0.5981494667133421,0.6122400606407851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.534016589399125,6.407234596330447,6.30701215306032,2.2530796293278126,1.9494885860467195,1.0278646540894558,0.0011967252904229553,6.078604838415571,0.11296917733901458,5.776175579124999,238.16962484845607,3.4901564776203306e-05,1.6350668422352943e-05,2.2883975543513224,0.15430190572415917,0.13022974914236143,4.27,2.9099999999999997,-3.623333333333333,1.1866666666666665,5.046666666666666,0.7266666666666667,0.0030979784521753427,-0.3566666666666664,0.793067324377709,-3.648111799685076,444.3173281559951,-7.197453703703704e-06,-1.1804968130602862e-06,1.0059641764038956,0.6418441109386998,0.634951090430445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.723535526945609,6.745897859516884,6.846641932153779,1.4204418933605814,2.048068897009217,1.30699268745371,0.0012572404183959862,6.499895003572847,0.12345165345843995,6.070288814939002,268.79591194311365,2.8704474567541977e-05,1.1257139048854005e-05,1.958033708933939,0.1755521493471421,0.1480693493685166,4.5666666666666655,2.89,-4.073333333333334,0.8600000000000001,4.930000000000001,1.0933333333333335,0.0030263607204539856,-0.5916666666666673,0.7822518348153953,-4.090321976829637,476.4352922158634,-2.7280671296296308e-06,-1.8780631116868166e-06,0.42725044809488416,0.6256508882140821,0.6197096807793242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.684551169801072,6.288055635739947,5.683471700880779,4.024209781785251,1.8058684668436482,1.144702942944678,0.001108561743278312,5.728476959529651,0.11553685698474399,4.9729224284352185,243.95268739290074,3.4056871808640864e-05,1.7399130633917492e-05,1.824034903069752,0.15735031652381495,0.13234690272963182,4.523333333333332,4.1033333333333335,-3.0433333333333334,1.7233333333333332,5.123333333333334,0.8999999999999999,0.0031450415330208084,0.5299999999999999,0.7692217986539568,-3.2211866491296868,496.2725228137453,1.3021199845679013e-05,3.112218870795293e-06,1.330709337196406,0.6161415136648379,0.6040588350698084,4.397333333333334,0.22542032070701665,4.421666666666666,1.0086811460124492,-3.0089999999999995,0.8864411436945873,1.4366666666666668,0.44985868837466375,5.199333333333334,0.16042997780270907,1.114,0.31639871704567346,0.0031916953696850075,9.848255237432511e-05,0.7063333333333333,0.8806548489408113,0.7710723050288577,0.019231073465648556,-3.0223830666347853,0.6165654655621531,489.71056605754484,38.277161092829424,-1.1491373988931457e-06,7.018430760633985e-06,-4.2760629074957994e-07,1.935580192166353e-06,0.8408058429795803,0.38697875159217254,0.6100852442581977,0.02846694544046511,0.603925289789491,0.023115602553780482
