@DATE  SRAD  TMAX  TMIN  RAIN  VAPO  WIND                 
1971001    2.40    9.10   -8.50     .00    3.50    6.00
1971002    2.40   -3.40   -5.50    1.60    3.10    1.00
1971003    3.50   -3.40   -8.00   11.30    2.60    4.00
1971004    6.90   -4.00  -11.00     .10    2.30    1.00
1971005    2.50   -3.00   -9.00    1.40    3.10    2.00
1971006    2.50   -4.40   -6.30    7.50    2.90    2.00
1971007    2.50    -.90   -5.00    3.10    3.50    1.00
1971008    3.30   -1.60   -5.20     .00    3.30    1.00
1971009    2.50   -3.90   -7.50     .00    2.90    1.00
1971010    2.60   -4.70   -7.60     .00    2.80    1.00
1971011    2.60   -1.00   -6.00     .00    3.40    2.00
1971012    6.60     .60  -13.10     .00    3.00    1.00
1971013    2.60   -4.50  -14.50     .00    2.40    1.00
1971014    5.60    2.00   -7.80     .00    3.10    7.00
1971015    8.00     .50   -5.50     .00    3.30    4.00
1971016    2.70   -3.60  -11.00     .00    2.90     .00
1971017    2.80   -3.50  -11.20     .00    2.80     .00
1971018    2.80   -2.40   -4.60     .00    3.40     .00
1971019    3.90    1.00   -5.00     .00    3.90    2.00
1971020    5.20    6.90    -.70     .20    4.80    2.00
1971021    3.20    8.50    1.80     .00    5.50    5.00
1971022    2.90   11.70    4.90     .00    6.90    3.00
1971023    5.50   12.00    4.00     .00    6.40     .00
1971024    4.60   10.00     .30     .00    5.90    1.00
1971025    9.90   12.20    -.50     .00    6.60    3.00
1971026    4.40   10.30    4.60     .60    6.90    1.00
1971027    5.90   12.40     .40     .30    6.30    3.00
1971028    9.20   11.20    5.60   27.00    6.60    2.00
1971029    5.80   10.60     .80     .10    5.90    1.00
1971030    6.20   12.40    1.40    1.50    6.90    3.00
1971031    8.00   13.50    4.50     .00    6.80    6.00
1971032    7.80   15.70    5.20     .00    6.80    3.00
1971033    3.40    7.70    -.20    2.10    4.40    9.00
1971034   10.30    1.20   -3.60    1.40    3.40    2.00
1971035    7.10     .30   -5.80    3.20    3.60    5.00
1971036    7.20    1.80   -7.40     .00    3.50    1.00
1971037    6.20    4.50   -2.50     .00    4.60    2.00
1971038    3.60    3.70     .40     .00    4.70    1.00
1971039    3.60    5.70     .50     .00    4.90    4.00
1971040    6.70    9.40    2.60     .00    5.90    4.00
1971041    3.80    7.00    3.80     .00    5.80    2.00
1971042   11.60    7.40   -2.40     .00    4.00    1.00
1971043   12.80    7.40   -2.50     .00    3.90    2.00
1971044   12.30   12.30   -2.30     .00    4.50    2.00
1971045    6.50   11.50    2.00     .00    5.50    2.00
1971046    5.70   11.40    3.40     .00    6.40    2.00
1971047   10.00   14.00    4.00    1.10    6.10    7.00
1971048    6.70   12.40    4.20     .00    6.70    3.00
1971049    8.20    9.50    3.00    3.20    5.80    5.00
1971050    5.10    9.00    2.00     .20    5.70    1.00
1971051    4.30    5.70    1.60     .00    5.70    2.00
1971052    4.30    5.40    2.60     .00    5.60    1.00
1971053    8.30   10.10    1.80     .00    5.60    1.00
1971054    7.50    8.60     .60     .00    4.80    2.00
1971055    6.20    8.20   -1.00     .00    4.90    3.00
1971056    7.90    5.70   -2.20     .00    4.40    2.00
1971057   10.40    9.60   -1.00     .00    4.00    9.00
1971058    9.40    1.20   -6.20    1.60    2.20    4.00
1971059    5.20     .50   -7.60     .00    2.90    3.00
1971060    8.90    -.30   -6.30     .00    3.00    2.00
1971061    6.70    -.90   -7.50     .00    2.80    2.00
1971062    7.80     .00   -7.40     .00    2.50    1.00
1971063    5.00   -1.60   -5.40     .00    3.00    2.00
1971064    6.30   -5.20   -9.20    1.00    2.40    2.00
1971065    5.10   -4.00   -8.80    4.80    2.50    1.00
1971066    8.00   -2.40  -11.20     .20    2.60    3.00
1971067   11.70     .50   -8.20     .00    3.00    2.00
1971068    5.10    -.40   -5.50     .70    3.90    3.00
1971069    5.10    1.50   -3.00    2.90    3.80    4.00
1971070   13.80    5.80   -6.10     .10    3.40    3.00
1971071   10.90    1.50   -4.00     .00    2.70    6.00
1971072   16.60    4.90   -8.40     .00    2.90    1.00
1971073   13.80   11.50   -1.00     .00    4.60    2.00
1971074    5.10    8.60    2.60     .40    6.60    3.00
1971075    8.90   13.00    3.50    1.90    6.90    2.00
1971076    5.40   11.40    5.60     .00    7.70    2.00
1971077   14.10   14.00    6.50    2.20    7.40    3.00
1971078   14.10   18.20    4.40     .00    6.70    3.00
1971079   13.30   21.20    9.50     .00    6.70    4.00
1971080   13.40   21.50    6.20     .00    7.10    4.00
1971081    9.30   21.20   11.50     .00    6.90    6.00
1971082    6.10   12.20    4.00     .30    5.80    7.00
1971083   15.10    9.50    1.00    1.20    4.10    2.00
1971084   20.10   10.80   -1.50     .00    4.00     .00
1971085   20.00   13.60    -.40     .00    4.40    4.00
1971086   12.20   13.70    1.30     .00    4.80    2.00
1971087   11.70   13.00    3.00     .00    5.10    4.00
1971088    6.60   10.30    3.40     .80    6.30    2.00
1971089    6.70    7.60    4.50   15.20    6.80    3.00
1971090    6.70   10.30    5.80   14.40    7.30    2.00
1971091   13.50   13.10    5.50     .00    6.30   14.00
1971092   16.80   15.70    6.10     .00    6.80   13.00
1971093   13.20   18.70    6.50     .00    8.00    5.00
1971094   17.40   21.10    4.40     .00    7.30    2.00
1971095    8.70   17.60   11.40     .00    9.10    3.00
1971096    7.90   13.70    9.90    2.40    9.20    1.00
1971097   20.90   20.00    7.80    6.00    8.60    5.00
1971098   21.60   21.80    6.40     .00    8.60    5.00
1971099   20.40   18.60    9.60     .00    8.80    7.00
1971100   15.10   19.60    8.30     .00    7.80    5.00
1971101   13.00   19.10    8.70     .00    8.30    3.00
1971102   14.90   15.20    6.40     .00    6.20    2.00
1971103   15.60   16.00    1.60     .00    5.70    3.00
1971104   18.40   13.80    6.00     .70    5.20    3.00
1971105   23.00   12.00   -2.00     .00    3.70    3.00
1971106   23.60   15.50     .70     .00    4.60    1.00
1971107   21.70   20.80    4.20     .00    5.30    7.00
1971108   17.30   17.20    8.50     .00    5.10    3.00
1971109   23.90   19.00    2.80     .00    5.10    3.00
1971110   24.00   17.40    2.80     .00    5.60    2.00
1971111   25.40   20.00    2.00     .00    5.30    3.00
1971112   25.70   21.80    4.60     .00    6.30     .00
1971113   21.40   25.80    6.00     .00    7.40    1.00
1971114   11.40   21.70   14.40     .00    9.20    1.00
1971115    9.20   16.10    9.40    9.70    8.20    2.00
1971116   13.40   14.60    7.80    2.00    7.90    1.00
1971117   17.50   21.40    8.60     .40    8.50    1.00
1971118    9.30   18.70    7.80     .00    9.30    2.00
1971119   26.50   14.70    3.50    5.00    6.10    2.00
1971120   16.10   21.00    6.00     .00    9.30    2.00
1971121   19.40   25.10    8.70     .00   10.30    3.00
1971122   13.60   20.50   11.70     .50   11.20     .00
1971123   16.40   20.00    9.00    6.80   10.80    2.00
1971124   19.80   20.10   11.20    8.50   10.80    1.00
1971125   14.10   20.20   10.60     .00   11.10    2.00
1971126   14.10   20.00   10.80     .20   10.50    1.00
1971127   18.00   19.80    9.50     .00   10.40    4.00
1971128   13.00   16.30    8.80    2.00    9.50    2.00
