Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl,Tmin,Tmax,tendt,tendq,bowen,R2,R1
2017-09-13,17.007916666666667,0.6643916666666666,0.0,,9.776958116719166,0.007549998511668665,0.01233253824910007,908.2153891298682,11.38,23.26,-0.006820167824074098,-0.04936265406453343,0.13816452849471722,0.4715226349475962,0.45113917104510304
2017-09-14,20.09083333333334,0.5609875000000001,0.0,,8.410608354677906,0.007005643864499301,0.015722165511814802,1457.1177273590204,10.92,29.52,0.0357889515817902,-0.01427485006788038,-2.5071332736669762,0.3159619918092755,0.31924277381000515
2017-09-15,16.972916666666666,0.4685041666666667,0.0,,5.1163530486113435,0.00549296345220358,0.012126743322045878,1480.0954123893068,12.77,22.07,-0.036195259452160566,-0.03966768024931106,0.9124622167132951,0.5554638538575609,0.3412119454150093
2017-09-16,19.97583333333333,0.5185916666666667,0.0,,8.954012841921868,0.007223635977899808,0.015581331519081427,1385.364702691605,10.4,29.69,0.03486024787808639,0.045384182810562175,0.7681144777597149,0.302227305252078,0.29016178867326137
2017-09-17,17.518333333333334,0.8558958333333333,0.3666666666666667,,14.827901291949509,0.010500745803895232,0.01253977912013965,341.82958150889857,13.26,23.85,-0.0285286168981481,0.08593708470262688,-0.3319709645360596,0.5149015155709232,0.5792622881531482
2017-09-18,15.283749999999998,0.7652916666666668,0.008333333333333333,,10.437626648903185,0.007862711338470786,0.011166781816530538,610.6381523168129,7.75,22.36,-0.025940822723765473,-0.06917833192690388,0.3749847965570405,0.39020608666106754,0.4916273194843257
2017-09-19,15.361250000000004,0.8158083333333335,0.3166666666666667,,11.900298283214534,0.00869480064454182,0.011007024431499687,437.56320680129255,10.78,21.55,0.0008996817129630314,0.021820241912172137,0.04123151872395859,0.5028009280892373,0.5533991206141498
2017-09-20,13.076250000000002,0.9868,0.17499999999999996,,12.865598080600614,0.009174515142828715,0.009308768754109565,26.791733064460256,11.0,14.72,-0.026526099537037058,0.012579763163670255,-2.10863266596649,0.7838347190459699,0.8868874674844389
2017-09-21,11.545,1.0,1.0833333333333333,,11.545000000000002,0.008395025086555884,0.008395025086555884,-2.041212100961144e-12,10.78,12.59,-0.017775969328703723,-0.020440908772542066,0.8696271543749509,0.8872806299966511,0.9334758008899459
2017-09-22,13.457916666666664,0.8912166666666668,0.025000000000000005,,11.539362295850744,0.008409408067737637,0.00960466582495842,242.76991527638768,10.88,17.28,0.02220665991512343,0.0003771712080833615,,0.6602707715842462,0.6972705803362182
2017-09-23,13.994583333333333,0.7632833333333334,0.016666666666666666,,9.360123884813069,0.007300161745479479,0.010042715176402242,582.7858327140935,9.57,19.27,0.006230054012345704,-0.029088251603841667,-0.21417767204416316,0.5338654860441225,0.5457513047151004
2017-09-24,12.904166666666667,0.9180333333333334,0.025000000000000005,,11.471227539052775,0.008376661943487044,0.009269571447218383,181.40207474252213,8.99,16.66,-0.012658424961419746,0.028229535661189017,-0.4484106686467041,0.6050791519906434,0.7205225856548377
2017-09-25,12.055,0.9679958333333332,0.016666666666666666,,11.538259902215934,0.008509972200315803,0.008849149853552637,65.75794459211458,7.78,15.72,-0.009857802854938277,0.0034958531880579092,-2.819856076511809,0.5918625843159834,0.7629436157149435
2017-09-26,17.551666666666666,0.7934916666666666,0.008333333333333333,,13.405712137593722,0.00955326949954804,0.012651153382217959,524.7581474969214,13.45,22.77,0.0638096836419753,0.027358841520335353,2.332324034793164,0.5564867390060673,0.5744603408943466
2017-09-27,16.175416666666667,0.6963458333333333,0.0,,10.042807679219004,0.007720032674987332,0.011537431203768938,771.2378352565606,11.32,21.02,-0.015976605902777767,-0.048073771291566196,0.3323351897208159,0.5383870347093789,0.514083460369059
2017-09-28,14.403333333333334,0.6914833333333336,0.0,,8.158272292377893,0.006753325241863519,0.010322773874112137,783.3409119979801,9.12,19.31,-0.02057175443672839,-0.02535039195330773,0.8114965036682275,0.5166501209579369,0.5064188147320894
2017-09-29,14.32625,0.5399125,0.0,,4.657172252655122,0.005307915203210827,0.010221858101453546,1206.8848695337058,10.06,18.64,-0.0008948447145061838,-0.037903619810481445,0.02360842365400503,0.5738405578618899,0.4102588979779382
2017-09-30,13.135416666666666,0.6124541666666667,0.0,,4.842152931379127,0.005419653876200619,0.009553359009145583,1033.515266181191,7.21,18.85,-0.01382414158950618,0.0029301721074807387,-4.717859935330455,0.4669934044540995,0.42508158913275457
2017-10-01,10.644999999999998,0.628375,0.0,,2.3976790102056342,0.0045211051645185655,0.008380229080081583,1024.2605511419233,3.26,18.46,-0.02891073977623459,-0.02356303598149985,1.22695308868235,0.3635854176244922,0.3792028706252603
2017-10-02,11.975,0.6306708333333332,0.0,,4.046788404593773,0.005059533946376385,0.009187232156946402,989.1149688354702,4.32,19.76,0.015439699074074095,0.01411945350924966,1.093505429509686,0.36122046746851505,0.38327315777876025
2017-10-03,15.082499999999996,0.661825,0.15833333333333335,,7.905267811342541,0.006791505959657904,0.011292260126700149,900.1498587052802,6.9,23.95,0.036074334490740705,0.04541825984203708,0.7942694109418946,0.3343971850865717,0.38119510784038224
2017-10-04,13.76791666666667,0.7560916666666668,0.0,,8.779686189686737,0.007052820913388224,0.009978087410388907,625.7941268702054,8.54,19.69,-0.015260730131172757,0.006852576356962435,-2.2270062143367975,0.48518654583400356,0.5189692332004219
2017-10-05,15.317499999999997,0.7605166666666667,0.0,,10.3952604265445,0.007860247357295937,0.01139610235265654,621.3571167352042,7.61,23.19,0.0179887972608024,0.02117349688766116,0.8495902852629582,0.367513311431467,0.4655698521961825
2017-10-06,11.8225,0.8446958333333333,0.125,,9.064870493145625,0.00716923773303654,0.00863571105092662,347.07477434275097,8.82,16.26,-0.04057274305555553,-0.018120647693664782,2.2390338216078387,0.6136012783301164,0.6333960663364859
2017-10-07,10.570833333333335,0.7618000000000001,0.0,,6.115562085718744,0.005837899629400824,0.008020299087606974,558.1258020071815,7.05,16.13,-0.014530343364197515,-0.03491226155205972,0.4161959929903271,0.54849249411578,0.5301063276608289
2017-10-08,10.309583333333336,0.7476416666666666,0.0,,5.264824885952032,0.0055260283101619305,0.008067245856082183,630.8261962819706,3.39,16.98,-0.0030327980324073916,-0.008178338048103662,0.3708330487892484,0.40283147687894205,0.48434987226512655
2017-10-09,10.78625,0.7113166666666667,0.03333333333333333,,4.892970124747193,0.0054563723644420505,0.008120053977593588,734.1285869197895,6.64,15.5,0.005533526234567879,-0.0018266183390886679,-3.0293828306402824,0.5552046403262342,0.5227839453990536
2017-10-10,10.814166666666665,0.771079166666667,0.0,,6.354503815451442,0.005938813771091827,0.008213889884763157,558.3410641243922,5.98,17.54,0.0003240788966049116,0.012651272074692499,0.025616309149907257,0.46591651127171996,0.4986347441036345
2017-10-11,11.613750000000001,0.7801791666666668,0.0,,7.0483867578113,0.006245949982711376,0.009011770755041325,572.9526020445909,4.16,20.4,0.00928220003858028,0.008054167249392008,1.1524717268915634,0.34331064380922177,0.44496820831807926
