DATE,std_SRAD,std_TMAX,std_TMIN,std_RAIN,std_VAPO,std_WIND,std_q,std_TAVG,std_RH,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_SRAD,rolling_std_SRAD,rolling_mean_TMAX,rolling_std_TMAX,rolling_mean_TMIN,rolling_std_TMIN,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_TAVG,rolling_std_TAVG,rolling_mean_RH,rolling_std_RH,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
1,17.51460638386171,5.16591503616925,4.257628717825284,4.943217808153974,1.4416784598547607,2.479082607480566,0.008849977814257698,2.230535861600315,1.937617225969664,778.2460629760815,1.6609979770600697e-05,0.00014430972626534633,0.46782111880567084,0.18734891456773853,1.5826157168822863,7.5166666666666675,4.376666666666666,-2.5466666666666664,2.7333333333333334,5.346666666666667,2.3366666666666664,0.03282138333744551,3.461666666666667,7.0555689000654045,-4152.174215370113,-2.6820322477650076e-06,-1.1101850906523084e-05,-0.03671199999962398,0.6371626615123024,6.57051648485421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17.622006878808712,5.011734505998965,3.581704788980004,5.148712594358938,1.4693653333186478,2.380379569848415,0.0090199381921954,2.3095727823087997,2.1634474241567725,892.0738791231618,2.3786793597385373e-05,0.0002601152848243868,0.6524653076851327,0.18003181675056953,1.9365897458549313,6.906666666666668,4.49,-2.536666666666667,1.78,5.44,2.2000000000000006,0.033394325191216385,3.5133333333333336,7.221089111680152,-4188.221170793097,5.997878086419763e-07,1.5024504893494533e-05,-0.04264688036544526,0.6331694854302182,6.767143967008853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17.48319258569515,5.225566020048455,3.4320681744427786,3.561449078707975,1.3045279235985239,2.4854611727764553,0.0080080569304543,1.9675207574596216,2.198710320934552,794.8630835604906,2.8693214083234763e-05,0.00013330914701131173,0.8296920163477983,0.16854161669525364,1.9125155657136952,7.806666666666669,4.203333333333333,-1.7566666666666668,1.4766666666666668,5.26,2.880000000000001,0.03228936590180113,2.98,7.217580606845776,-4176.506852224852,-6.191358024691359e-06,-2.8975830866025154e-05,-0.1388106391722135,0.6768529587074928,6.668333336304749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17.510083794281474,5.153171102708807,5.044269538041538,2.197922216313743,1.6104686260223449,3.3559348698350386,0.009886123714640004,2.273829748274468,2.557373312998902,1033.932582190537,2.737837900164453e-05,0.00018074220157257708,0.41347244440108366,0.18851400608420513,1.8116403456114967,7.780000000000003,4.1000000000000005,-3.1499999999999995,1.15,5.153333333333334,2.733333333333333,0.03163457521177729,3.6250000000000004,6.838587138382269,-3997.076356763666,7.487673611111109e-06,-1.717086273542232e-05,-0.010107397116179171,0.6214423197566553,6.409566039164122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17.46917679603233,6.173879906788621,6.783466207854465,4.3841787131121555,1.7803396292287321,2.414125100321025,0.010928904509057698,2.0085764387607528,2.4609668351685112,1187.0851390673697,2.628943638471388e-05,0.00017823640443206726,0.32252033187783674,0.16975132779475546,1.6765300633496778,7.960000000000002,4.209999999999999,-3.7100000000000004,1.6633333333333333,5.093333333333334,2.7600000000000002,0.03126625544863888,3.9599999999999995,6.57528589018509,-3880.2055770984007,3.88894675925926e-06,-9.658610288675052e-06,0.045821542129502534,0.585750772561285,6.148643273597702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17.472295311385846,7.263355514728253,6.762439368075439,2.08763188722335,1.8575722631014058,2.1094096793658403,0.011403009599300018,2.4341582604221954,2.568689029698826,1213.8726802797232,2.536862195214497e-05,0.00015899966841422065,0.5347766722303222,0.18698392252723994,1.6485069268878398,7.940000000000001,3.8233333333333346,-4.290000000000001,0.92,5.133333333333335,2.006666666666667,0.03151180195739781,4.056666666666667,6.537508465815183,-3864.4731281348704,1.1221836419753075e-06,6.439073525783351e-06,0.06535897541703532,0.5858666590970465,6.290090748075797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,17.490596488320275,6.195010970090387,5.593834865791725,2.5087891478770676,1.4431606437532036,2.703730925876358,0.008859076441297731,2.573827151713291,2.2115298881333207,975.7538979222855,2.4984701210490626e-05,0.00018410571279590485,0.5012095126463177,0.17542508110869445,1.7749405720162712,7.8199999999999985,3.4333333333333327,-4.506666666666667,1.1666666666666667,4.973333333333334,2.246666666666667,0.03052961592236204,3.97,6.403697582015676,-3856.266809721413,-1.006095679012345e-06,-2.5756294103133457e-05,-0.14749078676866922,0.5938232622938348,6.516752228444292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,17.488446432450477,5.820495890711814,4.64303210482512,2.2280242265341257,1.624330100645207,2.8030381710754044,0.00997121463213737,2.2757978265053413,2.1518560073739965,972.235424537926,3.47288730214093e-05,0.0001879999650582091,0.49141428220999495,0.1783019004958429,1.6086745751447211,7.790000000000001,3.21,-3.7133333333333334,1.0266666666666666,5.05,2.6566666666666663,0.031000246730816677,3.4616666666666664,6.647431964563174,-3950.0074471010753,-5.90113811728395e-06,1.234155759108478e-05,-0.05129924627659233,0.6340275830517739,6.5875295934982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,17.469569272730016,5.354114327308025,5.488337687744135,2.3342428440872247,1.8241168544944084,2.2612070827910404,0.011197638129736216,2.3193612874257417,2.780378726074842,1166.1933589153277,2.6554659424978577e-05,0.0001269282354891923,0.4225838039744935,0.17496922773828777,1.8755458091929071,7.936666666666668,3.236666666666667,-3.5766666666666667,1.1400000000000001,4.986666666666666,2.3266666666666667,0.030611464758615023,3.4066666666666667,6.736557022722331,-3909.263025026009,-6.384837962962953e-07,-1.019519974915699e-05,-0.08925312634733218,0.6390909104413219,6.515423477978818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17.48044687611006,5.267069677582189,5.086900011218811,2.991797214838038,1.6140332859875788,2.2159842524026545,0.009908005959874408,2.134726556555749,2.593988162750477,957.1411209723964,2.2604746069298855e-05,0.0001750869007804419,0.1841903670507314,0.17380588985331002,1.6481811246168678,7.81333333333333,3.9933333333333336,-3.900000000000001,1.4533333333333334,5.02,2.19,0.030816086849247474,3.946666666666666,6.492894984805162,-3889.8004204324106,6.26875e-06,5.365894604819488e-06,-0.08537489250273866,0.5893567531485163,6.286816281610957,7.727000000000001,0.31447173026490355,3.9076666666666666,0.4656312587614824,-3.3686666666666674,0.864037607777764,1.451,0.5300478664618327,5.145666666666666,0.15740213498795244,2.433666666666667,0.29765109245475,0.03158751213093182,0.0009662386179373916,3.638166666666666,0.34137652540672064,6.772620166708021,0.29982714107688263,-3986.3995002665906,135.05206800569735,2.948233955938696e-07,4.630883705945018e-06,-6.368761803375391e-06,1.5495515287888015e-05,-0.049051445100225646,0.07030740816193477,0.6196543366000447,0.03023003901297813,6.476081543053769,0.19098360979383575
