DATE,std_RAD,std_TMAX,std_TMIN,std_RAIN,std_VAPO,std_WIND,std_q,std_TAVG,std_RH,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,RAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_RAD,rolling_std_RAD,rolling_mean_TMAX,rolling_std_TMAX,rolling_mean_TMIN,rolling_std_TMIN,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_TAVG,rolling_std_TAVG,rolling_mean_RH,rolling_std_RH,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
1,1.3037699536168268,4.383149552547803,4.247461716658876,3.687738303229155,2.2007731138966995,1.3862211928124237,0.013509803867197108,1.9725858226161435,3.3220219028719886,1716.9484891878697,3.258804252111094e-05,0.0004073994653900487,0.45693738933443645,0.18485849285233177,2.678860761255913,3.486666666666665,2.62,-2.4899999999999998,1.6700000000000002,5.1066666666666665,3.0333333333333337,0.03134810428489185,2.5549999999999997,7.225659156106864,-3911.4937261902696,2.8021232439335957e-07,4.440740362609221e-06,-0.05272550528611542,0.7159592518340664,6.963749052548393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.6195252603666042,4.622843082013442,4.151749388933025,3.91924957630658,2.2082109053029444,1.6716706489678788,0.013555461960014125,1.730145166987607,3.2853665781525425,1753.330401552899,2.109805508814187e-05,0.0004074288656904036,0.4485661315939724,0.16245724224771516,2.629764919117735,3.869999999999999,2.5033333333333334,-2.6433333333333326,1.55,5.003333333333333,2.900000000000001,0.03071377580393124,2.5733333333333337,7.0860980525847195,-3843.640945851832,2.1282793209876512e-07,-1.6634273274940393e-05,0.10845495653989126,0.7081300770139013,6.958087090465324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.3105627465496177,4.573381253728364,3.3148655075784506,4.8658899553392345,2.1141694926561967,1.805562923651338,0.012978173446159924,1.4819420700049566,2.871172529839369,1642.903231155344,1.594830274504702e-05,0.0003900442736454274,0.1880572498667744,0.13731851129644196,2.3739061086045665,3.7366666666666677,2.9066666666666667,-2.2166666666666672,1.7633333333333334,5.016666666666667,2.883333333333334,0.030795624640184226,2.561666666666667,6.954086060625943,-3860.6615383326885,-1.354359567901215e-07,2.146357841927811e-06,-0.03344006719009077,0.7057000251638105,6.612902563198068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.5711808283588171,4.80520431467249,5.0539491784989865,1.7871829756647044,2.188107879414089,2.5285587189943404,0.013432056264451653,1.7561877468821068,3.2704670770308284,1617.7449155654326,2.2891735728620146e-05,0.00038588348687958846,0.43530705232740846,0.18520109515345526,2.2083653112236292,3.996666666666668,2.5966666666666667,-2.7366666666666664,0.8666666666666668,5.133333333333334,3.0466666666666677,0.03151180195739781,2.6666666666666665,7.255741177901956,-3956.1082098844754,1.2189236111111082e-06,1.8780631116868154e-05,-0.046506791868780574,0.7003563190566662,6.9724269562645125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.6651291758941082,4.208005506748724,5.821194924139508,0.9280061434596489,2.1182187268345647,1.2087848938252952,0.013003030329051068,1.8174133760128277,3.1893543955567094,1493.036378219863,2.1961003118813247e-05,0.0002366093287895443,0.6680489286364895,0.16939380936301604,1.846872783148969,3.990000000000001,2.46,-3.6299999999999994,0.5466666666666666,5.093333333333333,2.1433333333333326,0.03126625544863886,3.0450000000000004,7.093527685552234,-3939.3787408272224,4.391994598765435e-06,-6.439073525783349e-06,0.10071009936456848,0.6610633779835303,6.86437016539092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.609883268417631,5.091778362866133,5.3837772494099685,3.2630093296001275,2.1171033127321897,1.009318650343406,0.012996183178084594,1.7453550835907554,3.22022644558508,1511.0623857738321,2.500689455544396e-05,0.00025506505477826554,0.9266377622996734,0.17025249480974755,2.195819330232042,4.000000000000001,2.3999999999999995,-3.6333333333333337,1.436666666666667,5.383333333333334,2.2299999999999995,0.03304646763714122,3.0166666666666666,7.454953473097222,-4086.3907754043585,-3.2891589506172736e-07,4.6683283061929405e-05,0.10274233556168212,0.6636771041451881,7.303743578083677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.7143780079151123,5.345855629718511,4.205143265699454,1.6477640719416142,2.186187044400238,1.6323454671539142,0.013420264906162823,2.007500304175411,3.2248859018419482,1548.7480739792315,2.3122492580643368e-05,0.0003264664071107392,0.5194846093728979,0.22794358404893683,2.488126854623747,4.056666666666667,2.21,-2.656666666666667,0.7733333333333333,5.070000000000001,2.1599999999999993,0.031123019985196152,2.433333333333333,7.158684121449176,-3942.4723315549218,-6.771797839506171e-06,-5.043940928530303e-05,-0.03769157277786141,0.7335694530043179,7.069510686254471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.4620918725162797,5.302449011281615,5.904302931206043,0.985579938965863,2.53046722322501,1.4318383007659174,0.015533684804796019,1.4300349646075092,3.93402355415922,2031.197880944258,3.072999647814121e-05,0.00030728954355342284,0.2523716440385203,0.14787842081742147,2.8476786080564342,3.723333333333333,1.03,-4.069999999999999,0.2633333333333333,4.813333333333333,2.3533333333333335,0.02954742988732626,2.550000000000001,6.904755086485553,-3637.1570153505104,1.3543595679012357e-06,-4.131738845710997e-05,-0.01389095795916184,0.7009941049219408,6.9966204877549965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.3451530699549386,5.107717847453538,5.510904550572187,1.240615346020518,2.3615721434048433,1.6328383017127663,0.014496894874885891,1.9007681447851248,3.515729360379367,1975.6990342518102,2.3194530339073355e-05,0.0002695542393383708,0.25876246262062935,0.22855785466001777,2.5388474210294856,3.6766666666666654,1.0533333333333332,-3.64,0.2866666666666667,4.756666666666665,2.3733333333333335,0.029199572333251093,2.3466666666666667,6.896350247422849,-3662.7904460482287,-2.36045524691358e-06,-9.122020828193113e-06,-0.03336476502970234,0.7369641832443605,6.919935631018646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.380304813912617,4.68858849430887,5.178052711691671,1.7596401147204315,2.494508912119513,1.69040905067995,0.01531294886097545,1.76181153505631,3.946605688638894,2010.5127696787638,2.7048093059677883e-05,0.0003684366433719595,0.30876496330109027,0.19096070010708013,3.0088252987582482,3.739999999999999,0.83,-3.3866666666666663,0.6766666666666665,4.713333333333333,2.31,0.028933563615428905,2.1083333333333334,6.890302579455006,-3620.51055887123,-2.7667631172839503e-06,-6.975662986265311e-06,-0.07117918976821092,0.7562835596482725,7.106705130645072,3.827666666666667,0.1840226099903341,2.061,0.7746158745380961,-3.110333333333333,0.6296764797384465,0.9833333333333334,0.5727818191472903,5.0089999999999995,0.2015008501038961,2.5433333333333334,0.37428780106315485,0.03074856155933876,0.0012369457563742685,2.585666666666667,0.28174522244462347,7.092015764068153,0.18676684538298086,-3846.0604288315744,156.51573624515837,-4.905050021285648e-07,2.9728035016007565e-06,-5.887681597426057e-06,2.7710833330676807e-05,0.0023108541586218585,0.07169533180499454,0.7082697456016055,0.030123866220954726,6.976805134162407,0.17688369105153529
