DATE,std_RAD,std_TMAX,std_TMIN,std_RAIN,std_VAPO,std_WIND,std_q,std_TAVG,std_RH,std_lcl,std_tendt,std_tendq,std_bowen,std_R2,std_R1,RAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,lcl,tendt,tendq,bowen,R2,R1,rolling_mean_RAD,rolling_std_RAD,rolling_mean_TMAX,rolling_std_TMAX,rolling_mean_TMIN,rolling_std_TMIN,rolling_mean_RAIN,rolling_std_RAIN,rolling_mean_VAPO,rolling_std_VAPO,rolling_mean_WIND,rolling_std_WIND,rolling_mean_q,rolling_std_q,rolling_mean_TAVG,rolling_std_TAVG,rolling_mean_RH,rolling_std_RH,rolling_mean_lcl,rolling_std_lcl,rolling_mean_tendt,rolling_std_tendt,rolling_mean_tendq,rolling_std_tendq,rolling_mean_bowen,rolling_std_bowen,rolling_mean_R2,rolling_std_R2,rolling_mean_R1,rolling_std_R1
1,1.6832132653207448,6.225070742339113,4.55785793608327,3.677699180787876,1.3958271144140069,1.685860740625278,0.008568511869385764,2.731757149974496,2.0550311711508495,858.6257983503558,3.186062386692382e-05,0.000148479955746603,0.49380611735936697,0.20610964760417655,1.940412168172298,4.2700000000000005,4.476666666666666,-3.52,2.126666666666667,5.116666666666666,2.616666666666667,0.03140949091208158,3.998333333333334,6.570687849328551,-3952.900012353834,-6.044580140485311e-06,-2.9419904902286096e-05,-0.08507608845867562,0.6015367787385117,6.394644564497416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.3745803957454859,5.944309555529054,4.642933080091388,4.993698327743251,1.4881485836086905,1.9753102477111397,0.009135242230492035,2.7279234028751658,2.3479272100119633,1000.3140323628023,2.869081163453594e-05,0.00023349711309221053,0.22393243559758613,0.20292977952537716,2.039835089234376,3.7866666666666675,4.296666666666667,-3.7199999999999998,1.9566666666666666,5.170000000000001,2.356666666666667,0.031736886257093505,4.008333333333334,6.706548804510177,-3968.254683068348,1.1608796296296178e-07,8.585431367711182e-06,-0.041372990456516316,0.5993554146318713,6.5498211287047035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.6288349972529024,6.248723087950454,3.6254591465066195,3.162548441317249,1.3436782592450531,1.6213553291762657,0.00824838763632295,2.6478710815233844,2.1282699152500224,833.6209811059628,2.772875221641276e-05,0.00011590358045110524,0.4092308885294846,0.1983262895228149,2.023177899946778,4.5,4.936666666666666,-2.9466666666666668,1.4033333333333335,5.093333333333333,2.850000000000001,0.03126625544863886,3.941666666666666,6.553980536279805,-3947.166304918494,-7.739197530864176e-07,-1.2341557591084796e-05,-0.008607952360668967,0.6058558082362483,6.1946133400469625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.7660397933580483,6.1629930032915565,4.844227516321365,2.477366510548289,1.628693856487744,1.908507872357506,0.009998002257442653,2.659909362382853,2.4457353345278072,1042.148166356523,2.8642395858782875e-05,0.00019054541096636912,0.27335555878090523,0.20824841838992483,1.9623436421158345,4.38,4.659999999999999,-3.5966666666666667,1.27,5.033333333333335,2.836666666666667,0.03089793568550046,4.128333333333334,6.437415825030059,-3854.66601063204,2.166975308641975e-06,-9.658610288675044e-06,-0.10334667264460161,0.58989149568794,6.086136202537355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.9512330319127915,6.8049373556112265,5.650323965892596,3.3821726676831547,1.7117712813165866,1.720852501910996,0.010507986548027802,2.4604433765472846,2.346463678363267,1158.6211332476737,2.718493444123224e-05,0.00016228891063665862,0.50789572138589,0.1846533173511306,1.824597561936823,4.760000000000001,4.4799999999999995,-4.093333333333333,1.7233333333333332,4.886666666666667,2.7733333333333334,0.02999759848671765,4.286666666666666,6.1536128860304276,-3719.830297741266,1.8380594135802475e-06,-2.3609936261205677e-05,-0.08386457904176763,0.5692318792616512,5.895608427120413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.8489015067356063,6.9192883827846,6.744660723554748,1.913560201216089,1.7834649215604947,1.5615936451726735,0.010948089624580585,2.451992504348109,2.491078017861401,1273.065984616739,2.466871960141084e-05,0.00014608607920576027,0.4156048040274884,0.19536326788930605,1.8868821120361339,4.6466666666666665,3.6,-5.229999999999999,0.8966666666666666,4.916666666666667,2.306666666666666,0.030181758368286862,4.415000000000001,6.171994504813966,-3699.0252960972034,1.4897955246913578e-06,4.829305144337522e-06,-0.13867887211867092,0.5570564574066482,6.186988392514012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.8552813709831837,6.757848566028934,6.840074611409964,4.042761375623088,1.466425006214288,1.6360486461024908,0.009001888515818282,3.1125205995717713,2.3781690861799745,1162.123005535899,2.7085828386237518e-05,0.00017937249664570177,0.43808778310653684,0.22466576350447895,2.189396648108215,4.9,4.51,-5.260000000000001,1.8433333333333333,4.783333333333334,2.5300000000000002,0.029363270005757055,4.885,5.91164459836718,-3610.720018400786,5.456134259259261e-06,-2.146357841927789e-05,-0.0011766562740058828,0.5391377241330875,5.922127829659386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.7977156641681138,5.959210971454095,5.556548378720144,1.7355776805022212,1.6653638586234527,1.44018277894912,0.01022310703245781,2.616721208890521,2.287008098049277,1134.5213838041043,2.9960608585765622e-05,0.00015881972814617396,0.3453162449549559,0.19697315917817415,1.8968630872757561,4.616666666666665,3.7766666666666677,-4.916666666666667,0.7533333333333334,4.863333333333333,2.163333333333333,0.029854363023274936,4.346666666666667,6.1146426179102775,-3710.782204936805,-6.249402006172841e-06,1.2878147051566676e-05,-0.15043860271588863,0.5669189598891304,6.141350073396387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.8664644800189512,5.751322686450323,5.684983243841499,2.7202941017470885,1.708064038208372,1.591821771343808,0.010485229032969228,2.874743866651527,2.6299942696539937,1187.3468168802456,2.3555565650447706e-05,0.00012229954023437292,0.7958112621001218,0.2108699595645247,2.040126547804468,4.909999999999998,3.323333333333333,-5.0600000000000005,1.1,4.6899999999999995,2.3300000000000005,0.028790328151986178,4.191666666666666,6.038397794891594,-3632.6794969530447,-1.7993634259259242e-06,-2.790265194506123e-05,-0.09665563378227367,0.5848824140707146,6.150292477238198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.005395022284213,5.968797218023499,5.225226167903847,2.6803692488806137,1.5064649951489728,1.8450181446324554,0.009247680503159748,2.6014744934805503,2.5675105180973365,972.507866798516,2.6945552093242322e-05,0.00015097020585654576,0.27130248602034207,0.19903020136306243,1.8177457238997148,4.633333333333332,4.136666666666668,-4.566666666666666,1.3099999999999998,4.8566666666666665,2.493333333333333,0.02981343860514845,4.351666666666666,6.1558053029289646,-3747.5698429303943,1.8574074074074085e-06,2.6829473024097363e-05,-0.0638513697388207,0.5669084653369734,6.109412394924571,4.540333333333333,0.3347431298219021,4.219666666666667,0.5079988577803817,-4.291000000000001,0.8251854262251128,1.4383333333333335,0.46077832703662047,4.941,0.15619748500212044,2.525666666666667,0.2400671202439484,0.030331132494448555,0.0009588436779799558,4.255333333333334,0.2761248599304397,6.281473072009101,0.26472843292290105,-3784.3594168032214,135.41825670268264,-1.9428054491272827e-07,3.6904947060699456e-06,-7.1273882819877995e-06,1.938644529987444e-05,-0.077306941759189,0.04973063908267695,0.5780775397392777,0.021721200353884824,6.16309948306394,0.1954459482185715
