DATE,SRAD,Tmax,Tmin,RAIN,VAPO,WIND,q,Tavg,qsat,RH2,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1
1972-06-03,11.2,21.1,15.0,0.7,16.7,0.1,0.01025156674068591,18.05,0.01279979462654002,0.7988544450815925,0.8071212398573561,14.686914679851641,428.12308843131524,-0.041211226851851857,-0.020926988958795998,1.9692860226090971,0.681321853444736,0.667708024974747
1972-06-04,11.1,20.4,15.2,12.0,17.8,1.2,0.010926819639773008,17.799999999999997,0.01259838332161227,0.8658533959960596,0.8739321877871188,15.679000726214788,270.63236052310145,-0.002902199074074115,0.017707452195904312,-0.16389704413520237,0.72056469871483,0.7430573264389608
1972-06-05,26.3,26.2,15.2,2.1,17.3,0.5,0.010619886503824328,20.7,0.015117143854187292,0.6993128853701621,0.708937882814255,15.234940741471322,695.7273139913954,0.033665509259259284,-0.008048841907229211,-4.182652566330319,0.5074559816773634,0.5085970254594117
1972-06-06,28.8,27.0,16.0,0.0,14.6,3.7,0.008962447569701456,21.5,0.015886290581850718,0.5602208868904457,0.5695912408437247,12.62152186540695,1123.5293466178625,0.009287037037037045,-0.043463746299037744,-0.21367318346515043,0.5095363637306503,0.4094394092493557
1972-06-07,30.0,27.2,15.8,0.0,12.3,2.4,0.007550555144337528,21.5,0.015886290581850718,0.47129547533470467,0.47986111386149416,10.034412983622735,1443.2773815924986,0.0,-0.0370246727732544,-0.0,0.4971842057640535,0.34090870422179054
1972-06-08,30.2,29.7,10.3,0.0,12.0,1.2,0.0073663952627683205,20.0,0.014471441655505304,0.5053862945342941,0.5134904371523923,9.666051755692374,1300.7025173545996,-0.017413194444444443,-0.0048293051443375045,3.6057349709744275,0.30004303541670113,0.2875723540306338
1972-06-09,26.6,30.0,9.4,0.0,15.5,0.1,0.00951492721440908,19.7,0.014202288529582077,0.6667868246399151,0.6757185622875848,13.536775171379642,782.0514439043236,-0.003482638888888897,0.05634189335060449,-0.06181259950241861,0.2776386082599296,0.36508596322454806
1972-06-10,22.9,32.4,12.1,0.0,13.8,0.5,0.008471354552183568,22.25,0.01663870666268901,0.5049415834267119,0.5142675559457085,11.765235982868608,1324.018328099967,0.029602430555555562,-0.02736606248457932,-1.0817204912923233,0.2897996173625074,0.2834720812566124
1972-06-11,24.9,31.8,14.0,0.0,15.7,1.2,0.009637700468788552,22.9,0.017316214171457404,0.5522556488078981,0.5624103588260124,13.733790089025717,1161.9791665655598,0.007545717592592576,0.030585599247471004,0.2467081822245644,0.3394702730555278,0.3336504918750483
1972-06-12,20.7,33.0,17.0,0.0,15.7,2.4,0.009637700468788552,25.0,0.019675664618214815,0.48486372936637556,0.49567007935932067,13.733790089025717,1426.9220319970675,0.02437847222222224,0.0,,0.38451659654161735,0.31176977463443506
1972-06-13,18.8,30.8,19.0,0.2,18.0,2.9,0.01104959289415248,24.9,0.019557149438441238,0.5601295612774058,0.5716872413706117,15.853558015562681,1151.1410491740703,-0.0011608796296296462,0.03702467277325437,-0.03135421713890837,0.4940497870422057,0.4049576821207038
1972-06-14,20.3,32.0,18.9,0.0,16.6,0.8,0.010190180113496176,25.45,0.02021691790906579,0.4989362870069701,0.510219151319241,14.593897425457234,1377.2673003973493,0.006384837962962971,-0.022536757340241794,-0.2833077477194183,0.45854862271720526,0.3487970133577261
1972-06-15,28.0,37.0,17.5,0.0,18.1,1.9,0.011110979521342216,27.25,0.02251669559523009,0.4877637083334471,0.5001920440394356,15.940197900498863,1437.9970399898768,0.020895833333333343,0.024146525721687635,0.8653763930338589,0.31789567244736977,0.2878993748932359
1972-06-16,24.7,37.4,17.4,0.0,16.5,0.8,0.01012879348630644,27.4,0.022718449354240364,0.4401695945900194,0.45198149173356655,14.50038573687908,1634.857056248407,0.001741319444444428,-0.025756294103133476,-0.06760753070576955,0.30906812552504953,0.2567791915144962
1972-06-17,28.6,33.4,17.0,0.0,16.9,0.1,0.010374339995065384,25.2,0.01991461102471499,0.5159191114997989,0.5272294480055859,14.871488092613362,1311.2651027575835,-0.025539351851851844,0.006439073525783369,-3.9663084680718503,0.37596946494324623,0.3281395256623378
1972-06-18,21.6,26.0,15.0,0.0,14.8,2.9,0.009085220824080928,20.5,0.0149300992251163,0.6049277911787744,0.6140191614053168,12.829122113956386,971.5556899005994,-0.054561342592592585,-0.03380513601036269,1.6139956536742597,0.5069342647457405,0.44028224072538263
1972-06-19,22.7,25.2,14.1,3.9,13.9,2.9,0.008532741179373303,19.65,0.014157864160041913,0.5992662656021388,0.6078520925261618,11.874628097750122,983.1916257410729,-0.009867476851851869,-0.014487915433012628,0.6810832722951654,0.5015793538773363,0.43363842173240513
1972-06-20,24.5,28.0,12.2,0.0,14.1,1.2,0.008655514433752776,20.1,0.014562159743990125,0.5908425092164251,0.5996253285873072,12.091347465880915,1012.9474569332498,0.005223958333333367,0.00321953676289173,1.6225807369384722,0.37559399210178657,0.3729168910104676
1972-06-21,29.8,28.2,13.9,1.5,12.8,1.2,0.007857488280286208,21.05,0.015449480791718595,0.5047005754086803,0.5133514827175577,10.631094991219367,1313.3374022523326,0.011028356481481474,-0.02092698895879595,-0.5269920342193366,0.41487477354612046,0.3346082297570969
1972-06-22,27.5,29.9,9.8,0.0,12.6,0.5,0.007734715025906735,19.85,0.014336304656165704,0.535929988346149,0.5442029300256241,10.394932144427475,1191.886051909111,-0.013930555555555547,-0.00321953676289173,4.326881965169228,0.2868446993809746,0.29849218799862376
1972-06-23,27.5,34.4,12.2,0.0,13.8,2.9,0.008471354552183568,23.299999999999997,0.017745212807379614,0.4729231082257261,0.48252133702748523,11.765235982868608,1455.9685550487561,0.04005034722222217,0.019317220577350153,2.0732976083102788,0.2607439265820414,0.2533772353554336
1972-06-24,10.7,27.2,17.0,0.0,15.3,4.4,0.009392153960029608,22.1,0.01648574213556662,0.5656341179383422,0.5754035818075531,13.337508999790119,1110.2424716475462,-0.013930555555555507,0.024146525721687635,-0.5769175953559037,0.5366778997040532,0.4240571686661297
1972-06-25,23.7,22.7,12.6,0.0,10.2,2.4,0.00626143597335307,17.65,0.012478890619062129,0.49862288838807833,0.5055515463456451,7.268068526227558,1301.9925625303613,-0.05165914351851855,-0.08209818745373802,0.6292361027778872,0.5286440632151498,0.3698484418252735
1972-06-26,27.2,26.8,5.8,0.0,8.6,2.4,0.005279249938317295,16.3,0.011447865435940669,0.4582960439199913,0.4643495291978882,4.798873184768075,1436.5859801308486,-0.015671874999999977,-0.025756294103133456,0.6084677763519313,0.2616181142499943,0.24403189805211736
1972-06-27,21.8,26.7,12.7,0.0,13.5,0.5,0.00828719467061436,19.7,0.014202288529582077,0.5800308513696288,0.5885290703795093,11.432815339201778,1044.4076498520321,0.03946990740740739,0.07887865069084632,0.5003877102576728,0.41888455163939387,0.3853367523901811
1972-06-28,20.0,25.2,16.0,0.0,12.6,1.9,0.007734715025906735,20.6,0.01502336322547148,0.5110639905053912,0.5195300535500325,10.394932144427475,1286.0181137739862,0.01044791666666669,-0.014487915433012628,-0.7211469941948815,0.5668280742444747,0.39308231034736
1972-06-29,26.3,29.8,11.1,0.0,13.2,0.8,0.00810303478904515,20.45,0.014883660180119407,0.5407031738792304,0.5493320533625872,11.093817955010975,1180.7839148571773,-0.0017413194444444694,0.009658610288675054,-0.1802867485487231,0.31464105299418854,0.31451196444936164
1972-06-30,21.5,30.7,14.5,0.0,17.9,0.8,0.010988206266962742,22.6,0.017000534263318778,0.6424155499916433,0.6530021401653113,15.766493786226793,870.2431479460022,0.02495891203703706,0.07565911392795459,0.3298863909614889,0.37333153971233013,0.4050182536781669
1972-07-01,19.0,25.6,14.7,12.7,18.3,0.5,0.011233752775721686,20.15,0.014607707730210591,0.7664049819102207,0.7758318118393704,16.112222226397083,515.1654032433207,-0.028441550925925957,0.006439073525783369,-4.417025339443658,0.5091656758667659,0.5574769956237309
1972-07-02,25.8,25.7,16.3,1.8,15.4,0.8,0.009453540587219344,21.0,0.015401610632086149,0.6101162950580757,0.619527805239314,13.437426937318873,958.8668016863672,0.009867476851851869,-0.046683283061929384,-0.2113706707122936,0.5608540099466415,0.46635550583709867
1972-07-03,21.6,22.7,11.7,0.0,12.4,0.8,0.0076119417715272645,17.2,0.01212642145320932,0.6248598781995577,0.6323214763165707,10.15543962913538,888.6145354482258,-0.04411342592592593,-0.04829305144337527,0.9134528593135175,0.4982318026918185,0.44961967437582273
1972-07-04,17.2,24.0,14.5,0.0,13.0,0.8,0.00798026153466568,19.25,0.013806884144506842,0.5745966597776625,0.5828229810065616,10.86402581762279,1058.392205760293,0.023798032407407414,0.009658610288675054,2.4639188968325145,0.5530734866463987,0.4357657333806296
1972-07-05,27.9,25.8,13.7,0.0,12.2,0.8,0.007489168517147792,19.75,0.014246836534532983,0.5220932592924601,0.5302070884675749,9.912515207305347,1238.9512898923315,0.005804398148148148,-0.012878147051566763,-0.4507168713718005,0.471589499767467,0.36726425412078745
1972-07-06,27.6,29.0,10.8,0.0,12.9,0.1,0.007918874907475944,19.9,0.01438122537720919,0.5470529580495486,0.5554348483644399,10.747958475644545,1154.4830281019788,0.001741319444444428,0.01126837867012092,0.15453149875604438,0.3230201506189241,0.321903391543583
1972-07-07,18.3,27.0,16.4,2.6,18.5,0.5,0.01135652603010116,21.7,0.01608392153554529,0.7027031632816491,0.7129587345354761,16.282601251680394,690.9778240892726,0.020895833333333343,0.09014702936096718,0.23179724813406935,0.5227061904766277,0.518810210350211
