DATE S	RAD  T	MAX	TMIN  R	AIN  V	APO  W	IND		Razlika tmax-tmin
75012	3,3	1,5	-9,6	0	4	0,1		11,1
75013	3,2	2,6	-6	0	4,5	0,5		8,6
75014	4,4	1,5	-8,7	0	4,1	0,8		10,2
75015	7	4,4	-9,6	0	3,9	0,1		14
75016	6,5	3,6	-9	0	3,7	0,1		12,6
75017	6,1	3,1	-9,6	0	3,8	0,1		12,7
75018	7,3	4,7	-9,8	0	3,8	0,5		14,5
75019	7,3	5,8	-10,4	0	3,8	0,5		16,2
75020	6,9	5,8	-10,6	0	3,8	0,5		16,4
75021	3,5	-2,4	-7,6	0	4,3	0,5		5,2
75022	3,5	-1,3	-5,4	0	4,9	0,1		4,1
75023	3,6	-0,4	-2,4	0	5,4	0,1		2
75024	6,1	6,8	-2,6	0	5,9	0,5		9,4
75025	9	12,3	-1,4	0,4	6,3	0,5		13,7
75026	3,7	1,7	-3,3	0	5,8	0,8		5
75027	6,7	7,4	-3	3,4	5,9	0,5		10,4
75028	3,8	1,1	-3,7	0,1	5,8	0,5		4,8
75029	3,8	2,8	0,3	4,3	6,4	0,8		2,5
75030	6,4	6	-3,5	2,4	5	1,2		9,5
75031	4,3	5,8	-1,6	0,4	5	2,4		7,4
75032	5,6	4,4	-5,1	0	5,1	0,8		9,5
75033	4	3	-0,4	0	5,8	0		3,4
75034	4,1	2,3	-0,1	1,2	5,5	0,8		2,4
75035	4,1	0,6	-1	1,1	5,1	2,4		1,6
75036	4,2	1,1	-0,6	0	4,8	1,2		1,7
75037	10,5	6,9	-5,7	0	4,4	0,5		12,6
75038	10,3	12,2	-6,4	0	4,6	1,2		18,6
75039	4,7	6,1	-10	0	3,9	2,9		16,1
75040	11,1	1,6	-17,3	1,4	2,4	0,5		18,9
75041	11,7	6,6	-13,4	0	3,2	0,8		20
75042	11,3	10,5	-9,2	0	4,5	0,8		19,7
75043	4,6	5,4	-4	0	5,2	0,8		9,4
75044	6,4	10,6	-4	0	5,7	0,1		14,6
75045	4,7	5,6	-0,8	0,3	6,7	0,5		6,4
75046	4,7	5,6	1,6	1,9	6,3	0,5		4
75047	4,8	4,2	-0,2	0,2	6,1	2,4		4,4
75048	6,2	0,6	-3,1	3,6	3,4	2,9		3,7
75049	4,9	-0,8	-3	0	4,1	1,2		2,2
75050	12	7,4	-3,6	0	4,9	0,8		11
75051	5	1,3	-1,4	0	5,3	1,9		2,7
75052	5,1	2,9	-0,4	1	4,8	1,9		3,3
75053	12,7	5,2	-5,4	0	3,9	0,8		10,6
75054	12,9	6,9	-6,3	0	4,2	0,8		13,2
75055	8,3	3,1	-5,4	0	4,1	1,9		8,5
75056	7,6	2,4	-4,9	0	4,3	1,2		7,3
75057	6,1	2	-2,6	0	4,8	2,9		4,6
75058	14,5	2,4	-5,9	1,3	3,1	1,2		8,3
75059	13,8	9,6	-8,5	0	3,6	1,2		18,1
75060	14,4	13,1	-6,1	0	4,2	0,8		19,2
75061	14	16,6	-6	0	5,1	1,9		22,6
75062	14,3	19,7	-3,4	0	5,6	0,5		23,1
75063	10,9	16,2	-2,7	0	5,6	1,2		18,9
75064	12,3	17,6	-2,7	0	6,8	1,9		20,3
75065	12,7	18,2	-0,9	0	5,9	0,8		19,1
75066	7,1	17,1	0,3	0	6,9	0		16,8
75067	12,8	22,7	1,4	0	6	1,9		21,3
75068	11,6	19,6	0	0	6,1	2,9		19,6
75069	14,2	17,7	-0,6	0	7	2,9		18,3
75070	9,1	17,8	4,7	0	7,2	2,4		13,1
75071	13,3	21,1	-0,5	0	6,7	2,9		21,6
75072	7,2	17,7	-0,4	0	6,9	2,4		18,1
75073	8,4	17	2,6	0,1	8,9	2,4		14,4
75074	10,6	16,3	4,4	12,9	8,6	1,9		11,9
75075	8,5	13,1	0,8	0	7,8	1,2		12,3
75076	13	14,6	0,9	0	6,7	0,8		13,7
75077	13,8	16,1	-0,3	0,6	6,1	1,9		16,4
75078	6,9	17,8	-0,4	0	7,4	1,9		18,2
75079	7,1	16,5	5	0	9,6	1,2		11,5
75080	6,9	10,2	0,4	9,9	8	1,9		9,8
75081	7	1,2	-1	13,1	5,1	1,9		2,2
75082	7,1	3,7	-1,6	3,9	5,3	0,8		5,3
75083	7,2	2,9	0,6	0	5,9	1,9		2,3
75084	11,1	8,3	0,9	2,8	5,5	2,4		7,4
75085	19,7	11,2	-1,1	0,8	4,8	1,9		12,3
75086	13	15,3	-2,1	0	5,6	0,5		17,4
75087	7,4	14,7	0,7	0	7,7	1,2		14
75088	15,7	20,1	4,2	0	8,1	2,4		15,9
75089	12,3	24,6	4,4	0	8,2	2,9		20,2
75090	15,3	26	4,3	0	9,4	7,5		21,7
75091	10,2	19	6,4	0,1	9,9	3,7		12,6
75092	10,5	11,2	5,1	6,6	8,6	1,9		6,1
75093	15,5	15,4	5,1	0	6,8	3,7		10,3
75094	16,3	18,1	3,4	0	7,2	1,2		14,7
75095	12,4	24,6	3,1	0	7,3	2,4		21,5
75096	10,7	27,7	8,7	0	8,7	2,4		19
75097	12,2	28,4	10,4	0	7,9	2,9		18
75098	15,5	23,1	3,8	0	9	3,7		19,3
75099	19,7	19,7	0,7	1,1	6,9	1,2		19
75100	17	21,6	4,7	0,4	9,4	4,4		16,9
75101	10,7	12,4	3	2	6,2	5		9,4
75102	11,9	10,8	-1,1	0	5,9	1,2		11,9
75103	19	17,8	-2,3	0	6,1	2,4		20,1
75104	20,4	19,8	7,3	0	8,7	1,9		12,5
75105	21,7	23,8	0,8	0	7	1,2		23
75106	8,6	16,2	3,7	0	9,9	1,9		12,5
75107	8,7	12,5	10,3	0,4	9,3	3,7		2,2
75108	9,4	11,2	7,4	0,2	7,9	2,4		3,8
75109	21,6	14,6	2,7	0	7,1	1,2		11,9
75110	21,9	16,7	0,9	0	6,1	1,9		15,8
75111	24	20,3	-2,6	0	6	2,4		22,9
75112	10,9	18,6	1,7	0	8,9	1,2		16,9
75113	15	18,4	6,6	0	9,7	1,9		11,8
75114	9,1	13,2	7,4	1	10,5	0,5		5,8
75115	9,9	15	6,5	0	9,1	1,9		8,5
75116	9,3	8,4	3,2	5,6	7	3,7		5,2
75117	9,4	7,7	4,3	2,2	7,2	3,7		3,4
75118	9,3	12,4	5,6	5,4	8,3	2,4		6,8
75119	21,8	19,1	0,2	0	7,1	1,2		18,9
75120	23,9	22,2	-0,9	0	7,5	0,8		23,1
75121	19,4	20,7	0,9	0	8,9	4,4		19,8
75122	9,5	13,8	8	5	10	2,9		5,8
75123	9,5	11,9	8,8	16,6	11,7	1,2		3,1
75124	16,9	19,6	9	1,4	11	1,9		10,6
75125	13,6	21,6	7,3	0	11,3	0,8		14,3
75126	15,1	23,8	7,1	0	13	0,8		16,7
75127	21,9	25	10,8	0,4	14,1	0,8		14,2
75128	13,5	22,6	10,4	0,2	15,8	0,8		12,2
75129	18,8	20,1	10,8	5,7	12	2,9		9,3
75130	21,3	21,4	8,6	0,8	11,1	0,8		12,8
75131	22	23,2	6,7	0	10,8	1,2		16,5
75132	16,4	23,7	6,9	0	11,9	2,4		16,8
75133	12,4	22,2	12,1	0,1	15,1	1,9		10,1
75134	11,6	17	12	8,2	14,1	0,8		5
75135	11,2	20,8	9,4	3,9	13,8	1,2		11,4
75136	19,5	26,1	12,9	2,5	16	1,2		13,2
75137	20,7	25,9	12,7	0,8	15,9	1,2		13,2
75138	16,9	25	10,9	4,1	14,1	0,5		14,1
75139	22,9	25,6	11,4	0	14,5	1,2		14,2
75140	22,5	27,4	11,4	0	14,6	1,2		16
75141	20	25,5	12,4	2,3	14,9	1,2		13,1
75142	21,8	27,8	10,4	0	14,9	1,2		17,4
75143	21,2	26,6	12,6	0,6	14,3	1,9		14
75144	10,4	20,8	10,4	0	15,9	0,8		10,4
75145	19,3	24	13,6	10,6	16,3	0,8		10,4
75146	18,4	23,7	14,4	1,4	16,6	1,9		9,3
75147	11,4	21,5	12,6	0,8	14,5	0,8		8,9
75148	11,2	18,9	12,5	14,4	15,2	1,9		6,4
75149	24,9	24,4	12,6	3,5	16,5	0,8		11,8
75150	11,8	23,7	13,3	0,2	17,1	0,8		10,4
75151	22,3	26,7	12,4	0,1	15,9	0,8		14,3
75152	25,8	26,2	10,6	0	15,6	1,2		15,6
75153	18,8	27,9	12,4	0	17,7	0,8		15,5
75154	10,8	20,6	13,6	17,6	15,7	1,2		7
75155	11,1	15,6	10,4	8,5	12	1,9		5,2
75156	10,5	13,4	8,9	4,4	10,2	1,9		4,5
75157	10,5	13,7	7,6	10	10,1	2,4		6,1
75158	10,5	12	8,9	0,2	9,8	1,9		3,1
75159	10,6	13	10,6	0,4	12,1	2,4		2,4
75160	11,8	19,1	9,9	10,1	12,9	0,5		9,2
75161	19,9	23,6	9	0	12,3	1,9		14,6
75162	17,2	23,2	12,1	5,1	15,7	1,2		11,1
75163	15,7	24,4	12	0,4	15,3	0,8		12,4
75164	12,5	23,8	15	0,9	17,7	0,8		8,8
75165	18,8	26	13,9	1,5	18,7	0,8		12,1
75166	23,5	28,1	14,7	0,3	18,1	1,9		13,4
75167	22,1	30,2	14,4	0	16,4	1,9		15,8
75168	20,8	25,8	14,4	0	18,6	0,8		11,4
75169	19,5	27	15	5,3	17,8	1,9		12
75170	10,6	18,2	14,9	16	16,4	0,8		3,3
75171	10,6	18,5	13,6	13,4	16,4	0,8		4,9
75172	17,6	23,8	13,2	1,5	17,2	1,2		10,6
75173	16,6	25,1	15	3,5	18,9	0,8		10,1
75174	11,7	24,6	15,8	1,3	20,3	1,2		8,8
75175	19,2	29	17,6	17,2	21,3	0,8		11,4
75176	15,7	26	14,6	0	18,5	2,4		11,4
75177	13,2	24,6	15,6	9,3	19	1,9		9
75178	20,3	25,4	15	0	18	1,9		10,4
75179	24,1	29,4	14,2	5,6	17,9	0,8		15,2
75180	15,1	25,7	16,1	0	18,8	0,8		9,6
75181	23,6	31,8	14,4	0	18,6	2,4		17,4
75182	14,2	20,9	12	39	13,5	2,4		8,9
75183	10,7	16,4	12,2	12,2	13	1,9		4,2
75184	14,6	22,2	12,2	2,9	15,8	1,2		10
75185	24,4	28,1	13,7	2	17	1,2		14,4
75186	18,1	28	14,8	0	16,6	0,8		13,2
75187	12,2	23,5	14,4	16,6	16,6	0,5		9,1
75188	15,2	25,2	15	0	18	0,8		10,2
75189	23,1	27,4	15	0,7	17,2	0,8		12,4
75190	23,9	27,6	15	0	16,2	0,8		12,6
75191	22,1	28,6	14	0	18	2,4		14,6
75192	22,1	28,2	15,8	16,4	17,8	1,9		12,4
75193	20,7	29,7	15,4	0,3	18,7	0,8		14,3
75194	13,5	24,2	13,9	8,7	17,8	1,2		10,3
75195	20,2	27,1	15,9	0	19,2	0,5		11,2
75196	23,2	29,4	16,2	0	18,3	0,8		13,2
75197	24,1	32,4	15,5	0	21,3	1,9		16,9
75198	25,6	28,8	18,1	0,2	19,9	0,8		10,7
75199	21,6	30,7	16,8	0	21	0,8		13,9
75200	22,2	35,6	17,4	0	17,9	2,4		18,2
75201	15,3	23,7	17,3	0	16,5	1,2		6,4
75202	23,2	26,1	11,4	0	14,8	0,8		14,7
75203	16,6	25,6	12,3	0	15,7	1,2		13,3
75204	20,7	26,5	12,7	0	17,1	0,8		13,8
75205	16,9	28,4	13,4	0	18,1	0,5		15
75206	19,8	31,3	15,3	2	18,2	0,8		16
75207	10,7	19,4	13,5	7,6	13,2	1,2		5,9
75208	19,8	22,2	9,8	5	12,5	1,2		12,4
75209	23,3	24,2	10,4	0	12,8	1,2		13,8
75210	12	23,7	14	0	15,8	0,5		9,7
75211	14,7	24,6	13	0	18	1,2		11,6
75212	13,2	24,6	14	12,2	16,9	1,2		10,6
75213	16,4	24,7	13,4	5	17	0,8		11,3
75214	14,9	24,6	12,8	0,2	17,1	1,9		11,8
75215	10,4	21,6	15	12,7	17,5	1,2		6,6
75216	12,9	23,8	13,7	0,6	17	0,8		10,1
75217	12,8	21,8	13,6	4	15,6	0,8		8,2
75218	15,7	22,6	13,8	5,9	15,9	1,2		8,8
75219	10,1	20,7	13,4	13,1	16,3	1,2		7,3
75220	9,4	21	13,5	1,8	16,9	1,2		7,5
75221	9,5	23,8	15,6	1,4	18	0,8		8,2
75222	16,3	26,3	14,7	0,7	19,1	0,8		11,6
75223	19,3	28,4	15,3	0,3	18	1,2		13,1
75224	19,1	30,6	15,1	0	17	0,5		15,5
75225	9,5	21,6	15,3	12,1	18,2	1,2		6,3
75226	18,3	22	14,4	33,1	14,5	1,2		7,6
75227	19,4	25,4	11,4	0	14,7	1,9		14
75228	15,6	29,4	13,4	0	17,4	1,2		16
75229	18,1	27,3	15,5	10,3	20	0,8		11,8
75230	19,3	28,9	15,4	0	18,7	0,8		13,5
75231	10,4	23,3	16	46,5	17,7	1,9		7,3
75232	9,3	18,8	14,7	4,2	15,2	0,8		4,1
75233	13,1	22	14,6	0,2	15,7	0,8		7,4
75234	19	24,7	12	0	17	1,9		12,7
75235	18,7	27,7	13,9	0,1	17,2	0,8		13,8
75236	12,6	26,4	14,5	0	18,9	1,2		11,9
75237	12	22,9	14	1,1	17,9	0,5		8,9
75238	11,1	23,7	14	1,7	18	1,9		9,7
75239	9,2	22,8	15,9	19,8	18,1	1,2		6,9
75240	8,3	21,2	15,6	17,7	19,3	0,5		5,6
75241	11,4	24,3	16,9	9,8	19,7	0,5		7,4
75242	13,4	25,8	14,4	8,9	16,7	1,2		11,4
75243	14,9	25,2	14,5	4,3	17,9	0,5		10,7
75244	16,9	25,1	14,8	0	17,9	1,9		10,3
75245	15,9	25,3	13,9	0	18,6	1,2		11,4
75246	13,5	27,6	16	0	19,8	0,5		11,6
75247	11,1	24,8	13,4	0,2	17,7	0,8		11,4
75248	16,5	26,7	15,4	1,1	17,6	0,5		11,3
75249	15,1	25,7	12,8	3	17,2	0,5		12,9
75250	7,8	21,2	14,9	0,2	17,9	1,9		6,3
75251	8	20,3	14,4	0,3	16,6	0,1		5,9
75252	11,9	20	12,9	0,8	14,6	1,2		7,1
75253	15,4	21	9,4	0	12,4	1,9		11,6
75254	15,2	23,5	8,6	0	12,9	0,5		14,9
75255	8,5	20,2	10,3	0	16,4	0,5		9,9
75256	9,8	21,8	13,3	11,2	15	1,2		8,5
75257	14,7	24,3	13	0	15,4	0,5		11,3
75258	14,6	28,1	12,1	0	17,1	1,2		16
75259	15,4	30,2	14,2	0,1	19,6	0,8		16
75260	16	28,8	14,5	0	19,4	1,2		14,3
75261	16,9	24	13,2	0	15,1	2,4		10,8
75262	14,3	24,4	9,5	0,3	13,3	1,9		14,9
75263	13,7	24,8	9	0	13,9	0,5		15,8
75264	12,8	25,7	10,2	0,2	15,8	0,5		15,5
75265	10,5	24,7	11,8	0,1	15,6	0,8		12,9
75266	11	24,6	11,8	0,1	16,8	0,5		12,8
75267	10,3	25,1	12,4	0,2	16,3	1,2		12,7
75268	13,4	25,8	10	0	13,9	1,2		15,8
75269	13,3	27,4	9,3	0,2	13,6	1,2		18,1
75270	12,6	23,9	7,8	0	14,1	0,5		16,1
75271	10,3	27	10,6	0,1	16,7	0,5		16,4
75272	12,5	28	13	0,2	16,9	0,8		15
75273	11,9	26,8	10,7	0,2	16,6	1,2		16,1
75274	10,9	26	13	0,2	17,1	0,8		13
75275	11,7	24	11,9	0,1	15,3	0,8		12,1
75276	9,4	23,1	13,4	3,3	15,8	0,8		9,7
75277	7,3	20,6	12,4	0,1	13,7	1,9		8,2
75278	9,8	16,4	9,4	0	10,5	2,4		7
75279	10,3	16,6	4,8	0	9,9	1,2		11,8
75280	12,6	19,8	5,4	0,1	10,8	0,8		14,4
75281	11,7	15,7	3,4	0,3	7,9	1,9		12,3
75282	6,7	13,8	0,6	0	8,6	0,8		13,2
75283	7	12,6	7	0	9,5	1,2		5,6
75284	5,4	9,2	3,9	20,3	9	1,2		5,3
75285	5,3	9,3	7,4	10,6	10,2	1,2		1,9
75286	7,3	17,6	7,5	39,8	12,8	2,4		10,1
75287	7,8	17,7	9	5,2	10	3,7		8,7
75288	6,6	14,4	6	4,4	10,3	0,5		8,4
75289	5,7	12,7	4,5	0,1	10,1	0,5		8,2
75290	9,2	20,2	5,9	1,5	10,4	2,9		14,3
75291	5,9	13,2	3,2	0,8	10,2	0,8		10
75292	6,6	15,4	8,3	3,9	10,9	0,1		7,1
75293	5,4	13,1	9,6	3,5	11,3	0,8		3,5
75294	4,8	11,6	9,6	0,4	11,2	0,5		2
75295	4,7	11,4	9,3	0,6	10,9	0,8		2,1
75296	4,6	11	8,4	1,1	11	1,9		2,6
75297	7,2	13,7	8,4	6,9	10	0,8		5,3
75298	9,1	14,8	3,9	0	7,5	0,8		10,9
75299	8,9	15,1	2,2	0,1	7,5	0,5		12,9
75300	9	17,5	1	0	7,5	0,5		16,5
75301	9	17,4	0,4	0	7,7	0,1		17
75302	8,8	18,6	1,3	0,2	8,3	0,5		17,3
75303	8,4	17,8	1,3	0,2	8,2	0,8		16,5
75304	9	19,4	0,2	0,1	6,8	0,5		19,2
75305	9,4	15,8	-0,5	0	7,5	0,8		16,3
75306	7,3	15,7	2,2	0,4	8,4	0,5		13,5
75307	5,8	13,5	2,9	0,2	8,8	0,1		10,6
75308	4	7,9	2,9	0,2	9,1	0,8		5
75309	3,9	9	5,8	0	8,2	1,2		3,2
75310	5,9	12,1	0,8	0	7,6	1,9		11,3
75311	3,9	8,8	1,4	0	8	0,8		7,4
75312	3,8	7,8	4	0	7	2,9		3,8
75313	3,8	9,2	4,8	0,2	8,3	1,2		4,4
75314	3,8	10	2,9	0,2	8,3	1,2		7,1
75315	3,7	7,4	5	2,7	8,7	0,8		2,4
75316	3,6	7,1	4,8	3	8,2	2,4		2,3
75317	3,6	7,1	4,9	4,2	7,6	1,9		2,2
75318	3,6	6,3	3,5	0	7,1	1,2		2,8
75319	3,5	4,2	2,3	0	6,2	2,4		1,9
75320	3,5	3	0,2	0,4	5,9	1,2		2,8
75321	4,7	14	0,9	0,7	8,4	1,9		13,1
75322	3,4	23,2	11,4	0	9,7	6,7		11,8
75323	3,4	11,7	7	31,1	10,6	1,9		4,7
75324	5	12,4	4,5	5,2	8,7	0,8		7,9
75325	3,3	8	1,2	1,2	6,9	2,4		6,8
75326	4,2	2	-2,8	4,4	4,2	0,8		4,8
75327	3,2	-0,6	-2,7	2,4	5,1	1,2		2,1
75328	3,2	-1,4	-3,6	6,7	4,3	1,2		2,2
75329	5,7	-1,4	-11	4,6	3	2,4		9,6
75330	7,1	-3,5	-16,4	0	2,1	0,5		12,9
75331	7,3	-1,4	-17,2	0	2,4	0,5		15,8
75332	5,2	-0,2	-12	0	3,7	0,8		11,8
75333	6,4	7,3	-2,7	0	5,2	0,5		10
75334	3,1	-0,4	-2,8	0	5,4	0,1		2,4
75335	3	-0,1	-2,6	0	5,4	0,5		2,5
75336	3	1,8	-2,2	0	6,1	0,5		4
75337	3	1,7	0,8	0,4	6,3	0,5		0,9
75338	3	1,9	-0,4	0	6,4	0,8		2,3
75339	5	7,7	-1	0	6,8	0,1		8,7
75340	3	0,8	-1,2	0	6	0,8		2
75341	3,2	3	-2,2	1,7	5,6	1,9		5,2
75342	3,4	3,5	-5,2	0,3	4,8	0,8		8,7
75343	2,9	5,4	-2,1	0	5,1	0,8		7,5
75344	4,5	3,4	-6	0	4,8	0,5		9,4
75345	2,9	3,5	-0,6	0	5,9	0,8		4,1
75346	3,3	5,6	-1,1	0	5,5	1,2		6,7
75347	3,1	4,6	-1	1	6,6	0,5		5,6
75348	2,9	3,4	0,9	0,8	6,7	0,5		2,5
75349	2,9	2,8	0,9	0,2	5,6	2,4		1,9
75350	3,8	3,4	0	0	5,9	0,8		3,4
75351	2,9	6,8	0,4	1,8	7,2	0,8		6,4
75352	2,9	7,4	2	1,5	6,4	1,9		5,4
75353	2,8	2,4	-1,4	1,3	5	1,2		3,8
75354	3,7	-0,2	-4,2	0	3,7	2,9		4
75355	3,5	0	-6,6	0	3,5	1,9		6,6
75356	3,7	4,4	-4,6	0	4,9	1,2		9
75357	6,9	8,6	-4	0	4,9	0,8		12,6
75358	2,9	-2	-4,7	0	4,8	0,5		2,7
75359	2,9	-0,2	-4,4	0	5,3	0,5		4,2
75360	2,9	1,2	-3,5	0	4,9	0,5		4,7
75361	2,9	2	-5,2	0,2	5,9	0,8		7,2
75362	3,4	7,4	-1,5	1,6	6,6	0,8		8,9
75363	2,9	-0,6	-3	0	5,1	0,8		2,4
75364	2,9	-1,3	-4,5	0	4,7	0,5		3,2
75365	2,9	-1,8	-4,4	0	4,7	1,2		2,6
76001	3	0,1	-4,6	0	4,8	0,5		4,7
76002	3,1	2,8	-4	0	5,6	0,5		6,8
76003	5,3	11,7	-1,1	0	7	0,8		12,8
76004	4,2	8,4	0,2	16,3	4,7	4,4		8,2
76005	6,6	3,1	-3,7	0,8	3,6	2,9		6,8
76006	4,2	9,6	-5	0	6,4	1,9		14,6
76007	4,2	3,8	-2,9	5,1	5,2	1,2		6,7
76008	6,5	1,7	-6,9	0,5	3,4	0,8		8,6
76009	7,6	6,6	-8	0	3,9	0,1		14,6
76010	7,4	7,7	-6,9	0	4,3	0,8		14,6
76011	4,1	5,6	-5,1	0	5,4	0,8		10,7
76012	3,9	7,2	-0,9	2,4	6,9	1,2		8,1
76013	3,2	0,6	-1,9	0,4	5,6	0,5		2,5
76014	7,1	9,7	-3,1	0,5	6,1	0,8		12,8
76015	3,3	6	-2,8	0	6,4	1,9		8,8
76016	4,1	3,8	-4,8	0,5	3	2,9		8,6
76017	5,5	-0,2	-9,7	0	3,4	1,2		9,5
76018	3,4	-0,8	-4,2	2	3,8	3,7		3,4
76019	5,4	-0,4	-13,8	0,1	2,9	0,8		13,4
76020	8,1	6,3	-5,4	0	4,4	0,8		11,7
76021	3,5	3	-3,8	0	5,9	0,8		6,8
76022	6,5	7,3	-1,7	6,3	5,7	1,9		9
76023	8,2	12,7	-0,4	0,4	5,8	1,9		13,1
76024	5,6	6,6	-2,2	0	6,1	1,9		8,8
76025	3,6	1,3	-2,3	8	5,5	0,8		3,6
76026	3,7	-0,8	-3	14,2	4,9	0,5		2,2
76027	3,7	-1,9	-4,9	20,9	4,4	1,2		3
76028	3,7	-3,5	-5,8	15,4	3,8	0,8		2,3
76029	4,2	-2,6	-16,2	7,7	2,4	0,8		13,6
76030	8,4	-2,7	-20,6	0	1,9	1,2		17,9
76031	4,3	0,3	-16,6	0	3,5	0,8		16,9
76032	3,9	0,5	-2	2,4	4,8	1,9		2,5
76033	4	-0,6	-3,6	0	4,5	0,8		3
76034	4	1,6	-2,9	0	4,9	0,8		4,5
76035	6,3	5,6	-1,9	0,8	5,2	0,8		7,5
76036	6,3	4,9	-4	0,4	5,4	0,8		8,9
76037	4,2	1,2	-4,6	0	5,1	0,5		5,8
76038	4,2	0,9	-6,7	0,2	3,9	3,7		7,6
76039	10,2	-4	-18,9	0,1	1,7	0,8		14,9
76040	10,7	-3,6	-22,7	0	1,5	0,8		19,1
76041	4,4	0,7	-15,7	0	4	1,2		16,4
76042	4,5	2,8	-2,7	0,6	5,3	1,2		5,5
76043	4,5	-0,1	-3,8	2,2	4,2	1,9		3,7
76044	8,2	1,9	-9,9	6,1	3,6	0,1		11,8
76045	5,7	1,4	-12,1	0,2	3,9	0,8		13,5
76046	4,7	3,4	-10,3	0,1	4,6	0,8		13,7
76047	4,7	5	-4	0,2	5,8	0,8		9
76048	4,8	1,8	-0,8	2,3	5,3	1,9		2,6
76049	5,1	0,7	-2,1	3,4	4,4	1,9		2,8
76050	9,4	5,2	-3,1	0,2	4,7	0,5		8,3
76051	5,1	1,4	-10,6	0	4	0,8		12
76052	7,5	0,3	-9,4	0	3,8	0,8		9,7
76053	8,2	1,8	-10,8	0	3,8	0,8		12,6
76054	5,2	1,4	-10,5	0	4,5	0,8		11,9
76055	6,2	2,6	-5	0	4	1,2		7,6
76056	5,3	1,1	-6,7	0	3,7	0,8		7,8
76057	6,9	1,4	-15	0	3,5	0,8		16,4
76058	13,5	10,6	-9,6	0	4,8	0,8		20,2
76059	12,9	11,8	-1,7	0	6	1,2		13,5
76060	10,9	10,6	-5,4	0	5,2	0,5		16
76061	12,3	13,4	-6,3	0	5,2	0,5		19,7
76062	13,4	14,6	-5	0	5,7	0,1		19,6
76063	15,6	7,7	-2,4	0	4	4,4		10,1
76064	9,7	4,1	-3,1	0	4	2,4		7,2
76065	7,4	-1,4	-6,9	0,6	3,2	2,4		5,5
76066	12,3	0,6	-10,5	0,1	3	1,2		11,1
76067	6	0	-5,4	2,2	4,2	0,5		5,4
76068	13,7	5,4	-15,1	8,6	3,3	0,8		20,5
76069	8,1	10	-6,8	0	5,3	0,8		16,8
76070	6,3	2,7	-0,4	0	5,1	2,9		3,1
76071	6,3	-0,2	-3,8	0,2	4,3	1,9		3,6
76072	8,8	2,2	-5,8	3,5	3,6	1,2		8
76073	13,9	4,6	-10,9	0,1	4	0,5		15,5
76074	9,2	7,3	-6,5	0	5	0,8		13,8
76075	9,4	10,6	-2,8	0	6,1	1,2		13,4
76076	12,3	13,6	-1,1	0	7,1	1,2		14,7
76077	8,3	12,8	1,2	0	7,7	1,9		11,6
76078	6,8	8,6	4,3	0,6	8,2	0,8		4,3
76079	13,9	14,7	2,4	0,3	7,5	0,8		12,3
76080	6,9	6,7	1,5	0	4,7	2,9		5,2
76081	12,4	3,7	-4,6	1,7	3,7	2,9		8,3
76082	18,7	5	-6,1	0	3,5	2,4		11,1
76083	7,6	7	-5	0	4,9	1,2		12
76084	9,1	14,1	2	4,1	7,6	1,9		12,1
76085	7,3	7,2	2,8	0	6,9	1,9		4,4
76086	15,2	13,7	-1,2	0	5,8	1,9		14,9
76087	18,4	17,6	-1,8	0	6,6	2,9		19,4
76088	18,2	10,7	1,6	0	4,9	2,9		9,1
76089	12,9	10,8	0,4	0	5,5	1,9		10,4
76090	19,1	15,8	-3,7	0	4,7	1,2		19,5
76091	15,7	16,6	-2,6	0	6,2	1,2		19,2
76092	20,6	19,6	-1,4	0	7,1	1,2		21
76093	20,7	21	-0,2	0	7,3	1,9		21,2
76094	21	22,8	1,2	0	7,4	1,2		21,6
76095	21,2	24,2	2,4	0	7,2	1,9		21,8
76096	21,3	25,1	1,9	0	6,9	1,9		23,2
76097	18,7	24,4	2,1	0	7,1	1,2		22,3
76098	9	18,1	6,6	0	10,3	1,2		11,5
76099	8,2	13	6,1	2,4	9,1	2,4		6,9
76100	8,3	6,4	3	9,4	7,1	1,9		3,4
76101	8,3	4,3	1,5	10,2	6,8	1,9		2,8
76102	8,4	4,6	2,5	7,7	7,2	0,8		2,1
76103	9	10,2	3,1	4,7	8,1	1,2		7,1
76104	12,3	15,4	6	2	9,7	2,4		9,4
76105	8,6	13,3	7,3	3,6	9,5	1,2		6
76106	11,8	16,8	2,4	0,3	8,3	1,2		14,4
76107	11,1	14,9	6,2	0,3	9,4	1,2		8,7
76108	17,4	17,9	3,4	1,1	9,7	2,4		14,5
76109	16,7	18,8	3,4	0,2	9,7	1,2		15,4
76110	16,8	19,2	5,8	1,8	10,2	2,4		13,4
76111	12,8	20,1	6,4	0,5	9,7	2,9		13,7
76112	16	20,6	4,3	0	9,9	2,4		16,3
76113	16,8	20,8	6,9	1,4	9,8	1,9		13,9
76114	16,5	21,2	4,6	0,6	9,6	1,9		16,6
76115	14,9	19,3	8,4	1,3	10,3	1,2		10,9
76116	18,4	20,7	4,3	0	8,6	1,2		16,4
76117	21,3	17	5,9	0	7,4	3,7		11,1
76118	12,3	12,3	2,2	0,2	7,3	5		10,1
76119	19,8	18,8	0,6	0,3	7,2	3,7		18,2
76120	9,4	7	0,9	4,3	6,7	1,2		6,1
76121	9,6	8,8	1,9	6,4	6,6	1,2		6,9
76122	9,5	9,7	4,6	0	7,4	1,2		5,1
