1971  1    3.80    8.80    -.80    3.40    6.00    4.40
1971  2    3.00    -.40   -4.40    3.10    4.70    2.40
1971  3    4.20     .40   -6.30   10.00    3.60    1.90
1971  4    3.00   -1.70   -8.10     .50    4.10     .80
1971  5    3.00    2.10   -2.60     .70    5.30     .10
1971  6    3.10    -.70   -4.00    6.00    4.00     .80
1971  7    3.10   -1.50   -4.40     .60    4.40     .50
1971  8    3.10    -.80   -3.10     .20    4.60    1.20
1971  9    3.10     .30   -4.20     .00    4.60    2.40
1971 10    3.10   -1.40   -5.10    1.00    4.50    1.20
1971 11    3.40     .20   -6.60    3.10    4.30     .80
1971 12    3.20     .40   -2.50     .00    4.80     .50
1971 13    3.20    1.70   -3.00     .80    4.70     .50
1971 14    3.30    1.10   -5.10     .00    4.60    1.90
1971 15    3.30   -1.00   -5.40     .00    4.60    1.90
1971 16    3.30   -2.50   -8.80     .00    3.80     .80
1971 17    4.20   -2.50   -9.50     .00    3.60     .80
1971 18    5.00   -2.00  -10.70     .20    3.30     .50
1971 19    7.20     .70  -11.60     .10    3.50     .10
1971 20    5.30    5.60   -9.10     .00    4.30    1.20
1971 21    3.50    6.00   -4.50     .00    5.50     .80
1971 22    3.50    5.40   -3.60     .00    7.00     .50
1971 23    3.70    6.40     .60    3.20    7.10     .10
1971 24    3.60    2.60   -1.00     .10    6.10    1.20
1971 25    7.40   13.40   -1.30     .10    7.40     .50
1971 26    6.00   13.70     .50     .30    7.60    1.20
1971 27    6.00   13.80   -1.20     .10    6.70    1.20
1971 28    6.20   12.00    1.90    1.10    7.10    1.20
1971 29    6.90   12.90   -3.00     .20    6.40     .10
1971 30    5.30   10.80    -.70     .00    6.70     .50
1971 31    4.80    7.90   -1.10     .10    6.40    1.20
1971 32    6.50   10.60   -2.60     .00    7.20     .10
1971 33    4.00    5.60   -1.40    2.50    4.60    2.90
1971 34    7.20     .50   -3.80    3.10    3.60    2.40
1971 35    4.50    -.30   -5.60    1.70    4.30    2.40
1971 36    4.80    1.20  -11.50    1.80    3.80     .50
1971 37    4.20    1.60   -2.20     .00    5.30     .80
1971 38    4.30    3.30    -.60     .60    5.40    1.90
1971 39    4.30    4.60    -.50     .00    5.30    1.20
1971 40    5.80    8.20    2.50     .00    5.90    2.90
1971 41    4.50    8.90    2.00     .00    6.70     .80
1971 42    7.60    7.00   -1.90     .00    5.20    1.20
1971 43    9.80   10.60   -6.40     .00    4.60     .80
1971 44   10.40   13.30   -5.00     .00    5.00     .80
1971 45    9.00   13.10   -3.50     .00    5.80     .80
1971 46    8.20   12.90   -1.60     .00    6.70    1.90
1971 47    6.90   13.60    1.30     .00    7.30     .80
1971 48    4.90    9.40    2.40     .00    7.90    1.20
1971 49    6.40   10.60    3.40   18.20    7.30    1.90
1971 50    6.50   11.40    1.50     .50    7.90    1.90
1971 51    5.00    5.50    1.10    8.70    7.00    1.90
1971 52    5.10    4.70    1.80   10.30    7.50    1.20
1971 53    5.20    4.90    2.00    1.10    7.10     .50
1971 54    5.20    5.10    2.40    3.30    6.90    1.90
1971 55    5.30    4.10    1.40    1.20    6.50    1.90
1971 56    5.40    4.80     .60     .10    6.20    1.20
1971 57   10.70    7.60   -1.80     .70    5.50    2.90
1971 58    7.50    1.60   -8.20    1.60    2.60    4.40
1971 59   10.50   -1.80   -8.40     .10    2.50    2.90
1971 60    6.60    -.60   -8.10     .00    3.30    2.40
1971 61    8.00    -.70   -5.10     .30    3.30    2.40
1971 62    6.40   -1.80   -5.70     .00    3.40    2.40
1971 63    5.80   -3.30   -8.60     .20    3.40    2.40
1971 64    8.80   -2.40   -9.20    5.40    2.70    2.40
1971 65   10.60     .10  -13.70    6.60    2.50     .80
1971 66    6.00   -1.60  -13.10     .50    3.80     .80
1971 67    6.00    -.30   -6.50    7.30    3.80    1.90
1971 68    6.10    -.60   -4.70    7.40    4.40     .50
1971 69    8.40    5.30   -9.90    1.30    4.10    1.20
1971 70   16.80    7.60   -4.30     .10    3.60    1.90
1971 71   12.50     .60   -5.00    2.70    3.50    2.90
