DATE,SRAD,TMAX,TMIN,RAIN,VAPO,WIND,q,TAVG,RH,dewpoint,lcl,tendt,tendq,bowen,R2,R1
1976260,11.8,26.4,12.0,0.6,15.8,0.5,0.009699087095978286,19.2,0.7018009875321222,13.640601901480995,705.7444201702792,-2.321759259259259e-05,6.4390735257833245e-06,-3.6057349709744355,0.4071916503402868,0.45337823012417483
1976261,12.8,20.8,12.4,12.4,13.9,0.1,0.008532741179373303,16.6,0.7288420551402764,11.720038797710247,617.6985698000489,-3.018287037037034e-05,-3.0585599247471e-05,0.9868327288982588,0.5860345681204526,0.5603621419740235
1976262,7.4,15.1,10.0,12.9,12.6,0.5,0.007734715025906735,12.55,0.8613271495521035,10.29536037071817,285.07812334055274,-4.7015625e-05,-2.092698895879595e-05,2.246650251145594,0.7155287337036558,0.7298028580868566
1976263,7.1,14.0,10.1,29.6,13.3,0.5,0.008164421416234887,12.05,0.9404168383331286,11.120970303623903,117.6927845901556,-5.804398148148147e-06,1.1268378670120896e-05,-0.5151049958534872,0.7733954352613216,0.8278410926708991
1976264,9.0,14.6,11.4,4.7,12.2,1.9,0.007489168517147792,13.0,0.8092032351167244,9.803137921140054,403.72931434226876,1.1028356481481471e-05,-1.770745219590424e-05,-0.6228087677137621,0.8111681054255486,0.7292837192211131
1976265,6.7,14.3,10.5,0.3,12.3,0.1,0.007550555144337528,12.4,0.8491057779797586,9.934482235419777,311.5358762054354,-6.965277777777773e-06,1.6097683814458424e-06,-4.32688196516929,0.779041651833836,0.7501441106647132
1976266,6.9,17.3,10.2,0.0,12.6,0.5,0.007734715025906735,13.75,0.7954449230932172,10.27758985229881,438.79800722991246,1.5671874999999993e-05,4.829305144337504e-06,3.245161473876984,0.6302073986898483,0.6334836457439794
1976267,6.6,15.0,10.3,0.0,12.4,0.1,0.0076119417715272645,12.65,0.8419278927440571,10.052775916461966,328.2186246156774,-1.276967592592592e-05,-3.219536762891639e-06,3.9663084680719063,0.7347430208631023,0.72269772900658
1976268,15.9,20.2,8.0,0.0,12.2,0.5,0.007489168517147792,14.1,0.752428664908257,9.786528085537372,544.4560810736808,1.683275462962962e-05,-3.2195367628917076e-06,,0.453167588133185,0.5112869042238007
1976269,16.2,23.4,6.5,0.0,11.6,0.1,0.007120848754009376,14.95,0.6763161027124613,9.017811081853592,747.3485351010335,9.867476851851847e-06,-9.658610288675054e-06,-1.0216249084427491,0.33629485425493716,0.399251686415725
1976270,9.4,21.0,8.4,0.0,13.3,0.5,0.008164421416234887,14.7,0.7890761856947983,11.080923906963566,457.8841268084374,-2.9021990740740736e-06,2.7366062484579297e-05,-0.10605102855807098,0.4432251804033438,0.5305694948704923
1976271,12.2,23.2,12.6,0.2,15.0,0.5,0.0092079940784604,17.9,0.7237182296669609,12.863789842961411,638.6365251891655,3.714814814814814e-05,2.736606248457936e-05,1.357453165543305,0.5128652482230148,0.5218083854278204
1976272,15.5,26.6,9.6,0.0,15.2,0.1,0.00933076733283987,18.1,0.7240972390601341,13.064164305324127,638.803940436402,2.321759259259292e-06,3.219536762891639e-06,0.7211469941949026,0.34302209857964217,0.4315262119221318
1976273,15.5,29.3,11.1,0.0,16.3,0.1,0.010006020231926968,20.2,0.6796416402681748,14.10286378790648,774.4396107236744,2.4378472222222198e-05,1.770745219590431e-05,1.3767351707356792,0.3238522859326528,0.39436844628492856
1976274,13.0,30.2,13.0,0.0,15.9,0.1,0.009760473723168024,21.6,0.606770242478038,13.683306564515673,1004.0330999297404,1.6252314814814838e-05,-6.439073525783369e-06,-2.5240144796820907,0.34848903942980947,0.36437171988376943
1976275,15.4,27.0,13.8,0.0,16.5,0.5,0.01012879348630644,20.4,0.6794079756770872,14.288407626193637,776.5203348959031,-1.3930555555555587e-05,9.658610288675054e-06,-1.4422939883897674,0.4421867464407492,0.4564204645324248
1976276,14.6,27.3,11.4,0.0,15.9,0.1,0.009760473723168024,19.35,0.6995684177086676,13.73530785308861,712.8617938863935,-1.2189236111111079e-05,-9.658610288675054e-06,1.2620072398410402,0.3711710039253036,0.43263974654286863
1976277,15.0,24.2,11.0,0.0,14.6,1.9,0.008962447569701456,17.6,0.7179677699573368,12.453709111325189,652.1182568644446,-2.0315393518518516e-05,-2.092698895879595e-05,0.9707747998777257,0.4344693359164754,0.478255847851525
1976278,9.9,24.0,13.0,0.0,15.0,1.2,0.0092079940784604,18.5,0.6963929275425862,12.851671114977249,716.0499790475639,1.044791666666665e-05,6.439073525783369e-06,1.6225807369384821,0.5016812912810331,0.49683555565118215
1976279,13.6,27.4,15.2,0.0,15.5,1.9,0.00951492721440908,21.299999999999997,0.6026199266507125,13.295711300176215,1014.4344294403639,3.250462962962959e-05,8.048841907229211e-06,4.038423167491335,0.4728325548505437,0.4179688682409265
1976280,8.8,23.3,15.3,11.1,16.5,0.5,0.01012879348630644,19.3,0.7285539736038702,14.313061593679036,633.9668450013887,-2.321759259259255e-05,1.6097683814458422e-05,-1.4422939883897614,0.6074339970589209,0.5699790936290404
1976281,7.8,19.6,13.0,0.1,15.2,1.2,0.00933076733283987,16.3,0.8133242985502916,13.098588408012205,406.46157075803245,-3.482638888888888e-05,-2.0926988958795995e-05,1.664185371218955,0.6565242538764018,0.6607691861595653
1976282,8.9,20.4,11.2,0.0,14.8,0.1,0.009085220824080928,15.799999999999999,0.8178947314847232,12.696279294952454,393.8104808139616,-5.804398148148168e-06,-6.4390735257833245e-06,0.9014337427436121,0.5549272569904032,0.6124689469638448
1976283,12.6,24.8,9.8,0.0,14.8,0.1,0.009085220824080928,17.3,0.7421046158986381,12.668725193209072,587.2016364849251,1.7413194444444464e-05,0.0,,0.3868701979141488,0.467926995741994
1976284,13.7,25.9,8.5,0.0,13.1,0.5,0.008041648161855415,17.2,0.660420189675854,10.8072789371172,807.4523754298981,-1.160879629629646e-06,-2.736606248457936e-05,0.042420411423228895,0.3319488836680105,0.38756743590021847
1976285,13.5,26.4,8.1,0.0,14.1,0.0,0.008655514433752776,17.25,0.708982305720602,11.926249334834813,673.9665728867169,5.80439814814823e-07,1.609768381445847e-05,0.03605734970974451,0.31364101166808617,0.40521655313370997
1976286,13.4,27.4,9.7,0.0,12.7,0.1,0.007796101653096472,18.549999999999997,0.586892151903041,10.312067827115005,1038.8647927121397,1.509143518518515e-05,-2.2536757340241815e-05,-0.6696364946095311,0.3294637003710163,0.3432451685712607
1976287,13.1,26.1,11.4,0.0,13.9,1.9,0.008532741179373303,18.75,0.6346524904645185,11.678243957830881,894.2070653055899,2.321759259259292e-06,1.9317220577350085e-05,0.12019116569914885,0.3983710487066262,0.4057711622160099
1976288,8.8,24.8,15.0,1.9,15.4,0.1,0.009453540587219344,19.9,0.6540827839788963,13.228044969986504,845.9721992530959,1.3350115740740723e-05,2.4146525721687682e-05,0.5528793622160745,0.5444563476383063,0.4853669217834728
1976289,5.3,18.9,14.0,26.0,16.9,0.8,0.010374339995065384,16.45,0.8964717649780738,14.744858670169464,217.25097918809433,-4.0050347222222204e-05,2.4146525721687638e-05,-1.6586380866482282,0.7319626298549432,0.7681033489354016
1976290,6.5,16.4,11.8,2.1,12.8,2.9,0.007857488280286208,14.1,0.7897264200200399,10.50995832367327,453.80456254784286,-2.7280671296296287e-05,-6.600050363927954e-05,0.41334035033121275,0.7420873480853173,0.6812123405582933
1976291,5.0,12.7,4.4,5.8,8.7,7.5,0.005340636565507031,8.55,0.7772538179316806,4.883477974157753,459.61850429224296,-6.442881944444443e-05,-6.600050363927958e-05,0.9761867848247785,0.5699042659900077,0.5894869255594831
1976292,4.9,8.4,3.3,16.6,7.1,3.7,0.004358450530471255,5.85,0.7637705957526055,2.0156465397789294,478.77627751246024,-3.134375000000001e-05,-2.5756294103133478e-05,1.2169355527038639,0.7026013697847834,0.6413590875088769
1976293,5.2,6.5,2.8,4.5,6.2,2.4,0.0038059708857636322,4.65,0.725128078519993,0.13381591893951011,562.3866400237873,-1.3930555555555546e-05,-1.4487915433012558e-05,0.9615293255931769,0.7721758107857225,0.6378100615079746
1976294,4.8,8.4,2.2,0.0,6.6,0.8,0.004051517394522575,5.300000000000001,0.7376164759230612,0.9973541316793959,536.4312357561099,7.545717592592595e-06,6.439073525783346e-06,1.1718638655666882,0.6498481981154861,0.596214772059526
1976295,4.8,6.4,3.4,0.0,6.8,0.5,0.004174290648902048,4.9,0.7817161636143827,1.4179353446990954,434.5237892078795,-4.643518518518522e-06,3.2195367628917076e-06,-1.4422939883897552,0.8112299468529277,0.7045233685941045
1976296,4.7,5.3,2.9,0.1,7.0,0.8,0.00429706390328152,4.1,0.851532402293533,1.8310163658664418,283.4557617283542,-9.287037037037045e-06,3.2195367628916847e-06,-2.884587976779531,0.8449785378640662,0.783071268308857
1976297,4.7,8.0,4.0,0.0,6.9,0.8,0.004235677276091784,6.0,0.7344344073568038,1.6129356396668257,547.3656596809893,2.2056712962962963e-05,-1.6097683814458424e-06,,0.7584398103585426,0.6403167363456335
1976298,11.3,11.9,-1.2,0.0,6.5,0.5,0.00399013076733284,5.3500000000000005,0.7238537267609326,0.7841359193706874,569.0248767473425,-7.545717592592585e-06,-6.439073525783369e-06,1.1718638655666822,0.40219433563468915,0.46459510050441827
1976299,11.5,11.6,2.6,0.0,6.8,3.7,0.004174290648902048,7.1,0.6704915482016088,1.3981831134882694,710.7806964246124,2.0315393518518506e-05,4.829305144337527e-06,4.206690799470143,0.5396597359316369,0.49528875001520817
1976300,11.4,10.0,4.1,0.0,6.8,6.7,0.004174290648902048,7.05,0.6728159493980173,1.3986623443706405,704.5046267478135,-5.804398148148128e-07,0.0,,0.6673474263541727,0.5509425583554992
1976301,6.1,14.6,4.6,0.0,7.9,2.4,0.004849543547989143,9.6,0.65666848985774,3.489461179856741,763.6864163856163,2.9602430555555552e-05,1.770745219590424e-05,1.6717498501790469,0.5107245287312068,0.4724130940322152
1976302,10.9,18.6,5.9,0.0,9.6,1.2,0.005893116210214655,12.25,0.6682629634766751,6.265917451012884,750.810211581733,3.0763310185185185e-05,2.736606248457932e-05,1.1241409027155516,0.4334662811578628,0.4445617143218823
