Date,Tavg,RH,Precipitation,SAvg,dewpoint,q,qsat,lcl
2016-01-01 22:00:00,-2.15,0.9573,0.0,,-2.7393410571159738,0.003074936537322685,0.0032116524057618236,108.29825460426395
2016-01-01 23:00:00,-2.39,1.0,0.0,,-2.3899999999999997,0.0031550549257447144,0.0031550549257447144,39.09193745486885
2016-01-02 00:00:00,-2.55,1.0,0.0,,-2.5500000000000003,0.0031178181717994046,0.0031178181717994046,41.63173706667357
2016-01-02 01:00:00,-2.53,1.0,0.0,,-2.5300000000000007,0.003122451271545256,0.003122451271545256,41.3147099310291
2016-01-02 02:00:00,-2.52,1.0,0.0,,-2.5200000000000005,0.0031247701186584253,0.0031247701186584253,41.156148413003486
2016-01-02 03:00:00,-2.5,1.0,0.0,,-2.5000000000000027,0.003129412411775953,0.003129412411775953,40.83892945341875
2016-01-02 04:00:00,-2.47,1.0,0.0,,-2.470000000000001,0.003136387361925236,0.003136387361925236,40.3628611359063
2016-01-02 05:00:00,-2.54,0.9891,0.0,,-2.6878060249333027,0.003086229457094345,0.0031201339562194857,59.78372030444008
2016-01-02 06:00:00,-2.67,0.9943000000000001,0.0,,-2.7470304203777185,0.0030725881263905467,0.0030901478490460476,53.071708992615015
2016-01-02 07:00:00,-2.77,0.9976999999999999,0.0,,-2.801009639921913,0.0030602233536266323,0.0030672564545454694,48.95053542264695
2016-01-02 08:00:00,-3.16,1.0,0.0,,-3.1599999999999997,0.002979415523122311,0.002979415523122311,51.2398287597343
2016-01-02 09:00:00,-3.2,1.0,0.0,,-3.200000000000003,0.0029705340872417676,0.0029705340872417676,51.86573786797192
2016-01-02 10:00:00,-2.59,0.9771,0.0,,-2.902081082237885,0.00303760030050771,0.00310857032555681,80.91110817187165
2016-01-02 11:00:00,-1.88,0.8774,0.0,,-3.6417092879455275,0.0028758713065555326,0.0032764031301227557,248.99316244391372
2016-01-02 12:00:00,-1.6,0.8369,0.0,,-3.9974751279286185,0.0028007714558110695,0.0033447766069728104,323.0877950328627
2016-01-02 13:00:00,-1.43,0.828,0.0,,-3.9734775217558305,0.002805992619655099,0.00338690579086817,338.4697179135108
2016-01-02 14:00:00,-1.2,0.838,0.0,,-3.5878010993070273,0.002888232978208861,0.0034446554242134925,315.7199827611376
2016-01-02 15:00:00,-1.22,0.7698,0.0,,-4.73744042524236,0.002649901621115646,0.0034395991690446014,455.1608280311544
2016-01-02 16:00:00,-1.55,0.8054000000000001,0.0,,-4.4590570154404725,0.002705591087345014,0.003357118869279182,385.33346499592545
2016-01-02 17:00:00,-2.01,0.7986,0.0,,-5.020198951275941,0.0025932183170336675,0.0032450832630465318,404.73856814148365
2016-01-02 18:00:00,-2.38,0.8108,0.0,,-5.181075463069238,0.0025615463323977053,0.0031573953107022403,384.60465885127667
2016-01-02 19:00:00,-2.38,0.8652,0.0,,-4.320767487441558,0.002732941608921933,0.0031573953107022403,278.76393209126235
2016-01-02 20:00:00,-2.61,0.8254,0.0,,-5.1703961566545775,0.002563394156439696,0.003103955564976768,358.48501866552994
